Mhairi	// User ID
15-7-2024	// Evaluation date
P23_ADL	10-7-2024	15:37:09:818	// Source file name and timestamp
100.000	// Sampling rate
318.959	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.062115	0.133819	-0.222079	-0.963802	0.173011	-0.422445	-0.009387	0.889673	0.967366	-0.072405	0.241688	-0.023416	
1	0.064891	0.134528	-0.221884	-0.963566	0.171381	-0.421130	-0.009769	0.890608	0.967271	-0.072990	0.241972	-0.022557	
2	0.067416	0.135449	-0.221448	-0.963364	0.169882	-0.420022	-0.010083	0.891414	0.967224	-0.073671	0.242035	-0.021670	
3	0.069652	0.136514	-0.220821	-0.963198	0.168524	-0.419153	-0.010314	0.892079	0.967234	-0.074417	0.241847	-0.020736	
4	0.071582	0.137692	-0.220000	-0.963077	0.167304	-0.418553	-0.010449	0.892588	0.967294	-0.075208	0.241449	-0.019732	
5	0.073165	0.138901	-0.219084	-0.962993	0.166222	-0.418235	-0.010478	0.892939	0.967417	-0.076004	0.240790	-0.018666	
6	0.074391	0.140126	-0.218085	-0.962948	0.165265	-0.418211	-0.010396	0.893129	0.967592	-0.076782	0.239921	-0.017531	
7	0.075247	0.141337	-0.217068	-0.962935	0.164420	-0.418480	-0.010202	0.893161	0.967820	-0.077511	0.238849	-0.016339	
8	0.075725	0.142526	-0.216104	-0.962939	0.163670	-0.419029	-0.009900	0.893045	0.968100	-0.078161	0.237580	-0.015111	
9	0.075851	0.143745	-0.215196	-0.962951	0.162993	-0.419844	-0.009500	0.892790	0.968414	-0.078720	0.236190	-0.013856	
10	0.075635	0.145019	-0.214439	-0.962946	0.162370	-0.420896	-0.009018	0.892413	0.968765	-0.079160	0.234667	-0.012607	
11	0.075126	0.146448	-0.213823	-0.962907	0.161779	-0.422157	-0.008473	0.891930	0.969134	-0.079480	0.233094	-0.011378	
12	0.074370	0.148124	-0.213379	-0.962807	0.161203	-0.423589	-0.007889	0.891360	0.969513	-0.079674	0.231501	-0.010189	
13	0.073420	0.150148	-0.213135	-0.962621	0.160627	-0.425153	-0.007291	0.890725	0.969896	-0.079740	0.229917	-0.009063	
14	0.072356	0.152663	-0.213040	-0.962327	0.160039	-0.426812	-0.006706	0.890042	0.970261	-0.079697	0.228426	-0.007999	
15	0.071230	0.155750	-0.213128	-0.961896	0.159436	-0.428519	-0.006161	0.889333	0.970612	-0.079549	0.227015	-0.007016	
16	0.070122	0.159532	-0.213329	-0.961313	0.158813	-0.430240	-0.005680	0.888617	0.970930	-0.079326	0.225754	-0.006104	
17	0.069092	0.164077	-0.213616	-0.960559	0.158176	-0.431934	-0.005284	0.887911	0.971213	-0.079050	0.224654	-0.005259	
18	0.068192	0.169413	-0.213966	-0.959618	0.157532	-0.433565	-0.004991	0.887232	0.971461	-0.078743	0.223705	-0.004474	
19	0.067480	0.175567	-0.214289	-0.958490	0.156887	-0.435106	-0.004813	0.886592	0.971661	-0.078445	0.222951	-0.003724	
20	0.066977	0.182462	-0.214594	-0.957168	0.156253	-0.436526	-0.004755	0.886007	0.971828	-0.078173	0.222329	-0.003001	
21	0.066715	0.190027	-0.214803	-0.955667	0.155639	-0.437807	-0.004815	0.885482	0.971955	-0.077965	0.221854	-0.002276	
22	0.066698	0.198113	-0.214902	-0.954002	0.155050	-0.438934	-0.004987	0.885026	0.972052	-0.077843	0.221480	-0.001531	
23	0.066912	0.206530	-0.214896	-0.952202	0.154493	-0.439899	-0.005256	0.884643	0.972130	-0.077824	0.221146	-0.000752	
24	0.067349	0.215087	-0.214740	-0.950310	0.153963	-0.440709	-0.005604	0.884330	0.972190	-0.077935	0.220847	0.000087	
25	0.067959	0.223523	-0.214500	-0.948372	0.153456	-0.441371	-0.006007	0.884085	0.972253	-0.078177	0.220478	0.000986	
26	0.068710	0.231625	-0.214163	-0.946448	0.152958	-0.441912	-0.006438	0.883898	0.972322	-0.078565	0.220029	0.001961	
27	0.069544	0.239162	-0.213779	-0.944597	0.152453	-0.442364	-0.006868	0.883756	0.972410	-0.079097	0.219438	0.003010	
28	0.070395	0.245929	-0.213411	-0.942878	0.151919	-0.442769	-0.007271	0.883642	0.972531	-0.079764	0.218642	0.004126	
29	0.071219	0.251795	-0.213060	-0.941346	0.151329	-0.443183	-0.007620	0.883533	0.972681	-0.080567	0.217653	0.005308	
30	0.071938	0.256635	-0.212819	-0.940038	0.150658	-0.443662	-0.007892	0.883405	0.972878	-0.081480	0.216396	0.006533	
31	0.072516	0.260425	-0.212684	-0.938981	0.149879	-0.444275	-0.008070	0.883228	0.973114	-0.082494	0.214902	0.007794	
32	0.072905	0.263181	-0.212694	-0.938180	0.148968	-0.445086	-0.008144	0.882973	0.973393	-0.083586	0.213161	0.009071	
33	0.073066	0.264978	-0.212879	-0.937619	0.147907	-0.446157	-0.008107	0.882611	0.973715	-0.084731	0.211171	0.010342	
34	0.072998	0.265976	-0.213196	-0.937270	0.146683	-0.447548	-0.007962	0.882112	0.974064	-0.085916	0.209005	0.011602	
35	0.072678	0.266338	-0.213681	-0.937082	0.145291	-0.449298	-0.007719	0.881455	0.974446	-0.087104	0.206648	0.012826	
36	0.072133	0.266307	-0.214266	-0.936999	0.143735	-0.451439	-0.007391	0.880618	0.974842	-0.088285	0.204187	0.014012	
37	0.071383	0.266121	-0.214926	-0.936958	0.142027	-0.453980	-0.006999	0.879592	0.975247	-0.089434	0.201656	0.015152	
38	0.070458	0.266021	-0.215632	-0.936895	0.140189	-0.456907	-0.006569	0.878373	0.975657	-0.090530	0.199085	0.016240	
39	0.069419	0.266258	-0.216288	-0.936753	0.138250	-0.460190	-0.006127	0.876969	0.976053	-0.091569	0.196562	0.017288	
40	0.068301	0.267012	-0.216888	-0.936482	0.136248	-0.463767	-0.005705	0.875399	0.976443	-0.092528	0.194071	0.018288	
41	0.067173	0.268450	-0.217339	-0.936048	0.134225	-0.467569	-0.005334	0.873690	0.976813	-0.093408	0.191678	0.019258	
42	0.066089	0.270658	-0.217606	-0.935427	0.132229	-0.471500	-0.005044	0.871882	0.977165	-0.094204	0.189382	0.020204	
43	0.065095	0.273647	-0.217670	-0.934612	0.130309	-0.475459	-0.004864	0.870020	0.977505	-0.094910	0.187161	0.021129	
44	0.064259	0.277380	-0.217465	-0.933617	0.128515	-0.479342	-0.004819	0.868154	0.977827	-0.095541	0.185042	0.022052	
45	0.063603	0.281707	-0.217037	-0.932465	0.126896	-0.483043	-0.004929	0.866339	0.978148	-0.096088	0.182940	0.022964	
46	0.063173	0.286453	-0.216365	-0.931203	0.125497	-0.486473	-0.005207	0.864620	0.978467	-0.096568	0.180852	0.023878	
47	0.062985	0.291370	-0.215501	-0.929890	0.124359	-0.489559	-0.005656	0.863038	0.978796	-0.096985	0.178711	0.024787	
48	0.063036	0.296172	-0.214521	-0.928595	0.123513	-0.492252	-0.006274	0.861622	0.979150	-0.097343	0.176436	0.025680	
49	0.063332	0.300585	-0.213461	-0.927401	0.122983	-0.494542	-0.007047	0.860380	0.979529	-0.097658	0.174011	0.026557	
50	0.063828	0.304303	-0.212454	-0.926385	0.122783	-0.496445	-0.007953	0.859304	0.979953	-0.097924	0.171324	0.027390	
51	0.064499	0.307084	-0.211553	-0.925627	0.122916	-0.498021	-0.008962	0.858362	0.980422	-0.098152	0.168361	0.028171	
52	0.065291	0.308708	-0.210854	-0.925190	0.123372	-0.499363	-0.010041	0.857505	0.980943	-0.098338	0.165068	0.028874	
53	0.066138	0.309014	-0.210447	-0.925121	0.124134	-0.500592	-0.011152	0.856664	0.981522	-0.098473	0.161399	0.029472	
54	0.066999	0.307935	-0.210344	-0.925442	0.125171	-0.501861	-0.012260	0.855755	0.982150	-0.098559	0.157386	0.029955	
55	0.067791	0.305445	-0.210623	-0.926146	0.126449	-0.503329	-0.013331	0.854689	0.982834	-0.098571	0.152983	0.030289	
56	0.068476	0.301634	-0.211252	-0.927201	0.127924	-0.505165	-0.014342	0.853369	0.983559	-0.098506	0.148255	0.030465	
57	0.068997	0.296652	-0.212223	-0.928546	0.129547	-0.507528	-0.015276	0.851704	0.984320	-0.098341	0.143232	0.030467	
58	0.069307	0.290722	-0.213508	-0.930103	0.131271	-0.510554	-0.016127	0.849613	0.985108	-0.098055	0.137949	0.030281	
59	0.069390	0.284152	-0.215003	-0.931781	0.133044	-0.514355	-0.016902	0.847026	0.985905	-0.097640	0.132521	0.029916	
60	0.069204	0.277260	-0.216676	-0.933482	0.134818	-0.518990	-0.017617	0.843898	0.986709	-0.097069	0.126970	0.029365	
61	0.068752	0.270425	-0.218400	-0.935117	0.136545	-0.524480	-0.018298	0.840203	0.987500	-0.096338	0.121414	0.028648	
62	0.068026	0.264011	-0.220093	-0.936606	0.138183	-0.530786	-0.018979	0.835949	0.988272	-0.095440	0.115919	0.027781	
63	0.067025	0.258350	-0.221679	-0.937881	0.139697	-0.537816	-0.019698	0.831175	0.989019	-0.094369	0.110534	0.026782	
64	0.065780	0.253766	-0.223026	-0.938901	0.141053	-0.545432	-0.020496	0.825947	0.989728	-0.093145	0.105364	0.025690	
65	0.064293	0.250471	-0.224102	-0.939632	0.142233	-0.553444	-0.021412	0.820372	0.990402	-0.091769	0.100403	0.024526	
66	0.062606	0.248650	-0.224797	-0.940064	0.143227	-0.561641	-0.022486	0.814579	0.991031	-0.090277	0.095720	0.023331	
67	0.060752	0.248378	-0.225066	-0.940193	0.144038	-0.569789	-0.023748	0.808721	0.991617	-0.088694	0.091317	0.022139	
68	0.058762	0.249645	-0.224886	-0.940027	0.144683	-0.577654	-0.025222	0.802961	0.992161	-0.087053	0.087170	0.020981	
69	0.056700	0.252392	-0.224195	-0.939585	0.145189	-0.585025	-0.026923	0.797459	0.992658	-0.085406	0.083303	0.019898	
70	0.054592	0.256443	-0.223050	-0.938885	0.145598	-0.591715	-0.028854	0.792365	0.993117	-0.083783	0.079632	0.018912	
71	0.052502	0.261605	-0.221445	-0.937960	0.145958	-0.597591	-0.031006	0.787794	0.993535	-0.082240	0.076154	0.018056	
72	0.050468	0.267621	-0.219457	-0.936841	0.146321	-0.602571	-0.033359	0.783828	0.993915	-0.080814	0.072804	0.017353	
73	0.048517	0.274206	-0.217194	-0.935566	0.146741	-0.606633	-0.035877	0.780498	0.994263	-0.079540	0.069511	0.016816	
74	0.046691	0.281099	-0.214735	-0.934180	0.147263	-0.609821	-0.038513	0.777785	0.994576	-0.078464	0.066268	0.016466	
75	0.044977	0.288017	-0.212261	-0.932721	0.147931	-0.612232	-0.041211	0.775622	0.994861	-0.077596	0.062974	0.016301	
76	0.043387	0.294751	-0.209880	-0.931230	0.148769	-0.614024	-0.043906	0.773896	0.995115	-0.076964	0.059630	0.016329	
77	0.041897	0.301117	-0.207747	-0.929739	0.149790	-0.615393	-0.046527	0.772457	0.995342	-0.076572	0.056195	0.016544	
78	0.040468	0.306993	-0.206006	-0.928267	0.150991	-0.616565	-0.049005	0.771134	0.995542	-0.076411	0.052632	0.016931	
79	0.039082	0.312344	-0.204729	-0.926822	0.152352	-0.617788	-0.051276	0.769738	0.995714	-0.076479	0.048980	0.017484	
80	0.037672	0.317164	-0.204041	-0.925395	0.153841	-0.619299	-0.053285	0.768090	0.995860	-0.076740	0.045195	0.018174	
81	0.036214	0.321540	-0.203953	-0.923961	0.155408	-0.621324	-0.054988	0.766016	0.995979	-0.077174	0.041335	0.018987	
82	0.034663	0.325590	-0.204487	-0.922483	0.156997	-0.624047	-0.056358	0.763375	0.996073	-0.077741	0.037415	0.019895	
83	0.032972	0.329466	-0.205633	-0.920913	0.158543	-0.627601	-0.057379	0.760058	0.996143	-0.078394	0.033450	0.020869	
