Mhairi	// User ID
4-6-2024	// Evaluation date
P8_ADL	31-5-2024	09:47:59:881	// Source file name and timestamp
100.000	// Sampling rate
312.598	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.074546	0.132865	-0.123008	-0.980642	0.033630	-0.230913	0.003222	0.972388	0.923749	-0.097355	0.344853	0.135227	
1	0.074020	0.133298	-0.123234	-0.980595	0.034105	-0.231543	0.003382	0.972221	0.923857	-0.097510	0.344646	0.134907	
2	0.073587	0.133803	-0.123546	-0.980519	0.034589	-0.232265	0.003552	0.972031	0.923997	-0.097601	0.344387	0.134542	
3	0.073266	0.134357	-0.123918	-0.980421	0.035077	-0.233062	0.003735	0.971822	0.924192	-0.097590	0.344037	0.134105	
4	0.073007	0.134954	-0.124357	-0.980302	0.035552	-0.233913	0.003927	0.971599	0.924415	-0.097526	0.343648	0.133608	
5	0.072819	0.135570	-0.124840	-0.980170	0.036007	-0.234797	0.004128	0.971369	0.924681	-0.097387	0.343193	0.133036	
6	0.072682	0.136192	-0.125358	-0.980028	0.036433	-0.235688	0.004335	0.971136	0.924982	-0.097192	0.342684	0.132396	
7	0.072565	0.136809	-0.125908	-0.979880	0.036817	-0.236564	0.004544	0.970907	0.925301	-0.096976	0.342150	0.131704	
8	0.072489	0.137401	-0.126465	-0.979731	0.037161	-0.237406	0.004757	0.970688	0.925654	-0.096718	0.341556	0.130956	
9	0.072412	0.137971	-0.127035	-0.979583	0.037455	-0.238194	0.004966	0.970482	0.926010	-0.096480	0.340952	0.130188	
10	0.072354	0.138507	-0.127598	-0.979438	0.037703	-0.238918	0.005174	0.970294	0.926378	-0.096252	0.340313	0.129409	
11	0.072308	0.139009	-0.128147	-0.979299	0.037906	-0.239568	0.005378	0.970124	0.926748	-0.096058	0.339649	0.128644	
12	0.072261	0.139482	-0.128682	-0.979165	0.038067	-0.240142	0.005578	0.969975	0.927102	-0.095939	0.338988	0.127924	
13	0.072247	0.139923	-0.129182	-0.979037	0.038197	-0.240643	0.005777	0.969845	0.927456	-0.095868	0.338292	0.127255	
