

Sample #	C7_X	C7_Y	C7_Z	T8_X	T8_Y	T8_Z	EL_X	EL_Y	EL_Z	EM_X	EM_Y	EM_Z	US_X	US_Y	US_Z	RS_X	RS_Y	RS_Z	AA_X	AA_Y	AA_Z	Fore_Clus_1_X	Fore_Clus_1_Y	Fore_Clus_1_Z	Fore_Clus_2_X	Fore_Clus_2_Y	Fore_Clus_2_Z	Fore_Clus_3_X	Fore_Clus_3_Y	Fore_Clus_3_Z	Fore_Clus_4_X	Fore_Clus_4_Y	Fore_Clus_4_Z	Hum_Clus_1_X	Hum_Clus_1_Y	Hum_Clus_1_Z	Hum_Clus_2_X	Hum_Clus_2_Y	Hum_Clus_2_Z	Hum_Clus_3_X	Hum_Clus_3_Y	Hum_Clus_3_Z	Hum_Clus_4_X	Hum_Clus_4_Y	Hum_Clus_4_Z	Thor_Clus_1_X	Thor_Clus_1_Y	Thor_Clus_1_Z	Thor_Clus_2_X	Thor_Clus_2_Y	Thor_Clus_2_Z	Thor_Clus_3_X	Thor_Clus_3_Y	Thor_Clus_3_Z	Thor_Clus_4_X	Thor_Clus_4_Y	Thor_Clus_4_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	GH_X	GH_Y	GH_Z	Thor_Clus_5_X	Thor_Clus_5_Y	Thor_Clus_5_Z	
0	-0.054338	1.424234	-0.086171	-0.078244	1.175857	-0.129318	-0.191805	1.051618	0.103211	-0.195218	1.043732	0.037549	-0.150759	0.824045	0.180060	-0.098336	0.829614	0.168576	-0.170491	1.358207	0.047667	-0.151185	0.897474	0.195721	-0.139495	0.847048	0.213244	-0.112399	0.851054	0.205643	-0.108328	0.903461	0.183326	-0.195480	1.157111	0.135634	-0.240377	1.164762	0.096200	-0.242381	1.228401	0.094096	-0.193404	1.230722	0.127020	0.074522	1.335385	0.000150	0.047388	1.285710	0.062952	0.041355	1.332409	0.029564	0.095828	1.289457	0.020003	0.011616	1.348135	-0.021168	0.051319	1.161269	0.025740	-0.160440	1.330133	0.027559	0.038247	1.305867	0.054200	
1	-0.054921	1.424178	-0.086381	-0.078551	1.175688	-0.129029	-0.191390	1.051719	0.104035	-0.194982	1.043709	0.038397	-0.149711	0.824370	0.181192	-0.097328	0.830030	0.169571	-0.170692	1.358222	0.047822	-0.150284	0.897770	0.196617	-0.138494	0.847386	0.214274	-0.111605	0.851217	0.206706	-0.107448	0.903818	0.184220	-0.195164	1.157273	0.136250	-0.240164	1.164744	0.096923	-0.242287	1.228405	0.094726	-0.193251	1.230897	0.127538	0.074183	1.335607	-0.000166	0.047270	1.286141	0.062810	0.041136	1.332729	0.029324	0.095638	1.289837	0.019726	0.011283	1.348294	-0.021381	0.051362	1.161573	0.025781	-0.160708	1.330148	0.027791	0.038119	1.306205	0.053994	
2	-0.055503	1.424128	-0.086585	-0.078861	1.175526	-0.128724	-0.190948	1.051828	0.104871	-0.194737	1.043703	0.039258	-0.148725	0.824664	0.182261	-0.096383	0.830393	0.170488	-0.170884	1.358251	0.047992	-0.149256	0.897954	0.197674	-0.137469	0.847839	0.215312	-0.110399	0.851786	0.207626	-0.106531	0.904208	0.185066	-0.194809	1.157441	0.136977	-0.239913	1.164764	0.097675	-0.242181	1.228389	0.095431	-0.193077	1.231083	0.128106	0.073951	1.335854	-0.000429	0.047200	1.286501	0.062617	0.040978	1.333131	0.029150	0.095488	1.290229	0.019446	0.010954	1.348461	-0.021591	0.051409	1.161886	0.025827	-0.160964	1.330179	0.028067	0.038262	1.306750	0.053998	
3	-0.056089	1.424076	-0.086780	-0.079177	1.175360	-0.128388	-0.190487	1.051946	0.105714	-0.194484	1.043715	0.040126	-0.147803	0.824930	0.183272	-0.095504	0.830706	0.171333	-0.171066	1.358288	0.048186	-0.147995	0.898627	0.198915	-0.135960	0.848639	0.216690	-0.108945	0.852618	0.208984	-0.105300	0.904920	0.186264	-0.194431	1.157606	0.137664	-0.239696	1.164797	0.098575	-0.242029	1.228427	0.096158	-0.192841	1.231199	0.128630	0.073677	1.336134	-0.000763	0.047262	1.286880	0.062429	0.040885	1.333464	0.028910	0.095274	1.290600	0.019136	0.010627	1.348632	-0.021793	0.051466	1.162209	0.025891	-0.161209	1.330228	0.028386	0.037935	1.306921	0.053676	
4	-0.056670	1.424032	-0.086966	-0.079494	1.175202	-0.128034	-0.190015	1.052074	0.106557	-0.194231	1.043747	0.040996	-0.146945	0.825172	0.184224	-0.094690	0.830975	0.172107	-0.171238	1.358343	0.048395	-0.151168	0.894856	0.195741	-0.139195	0.844735	0.213385	-0.112161	0.848784	0.205562	-0.108556	0.901197	0.182954	-0.193966	1.157809	0.138426	-0.239395	1.164825	0.099409	-0.241877	1.228484	0.097012	-0.192512	1.231334	0.129225	0.073338	1.336488	-0.001131	0.047257	1.287261	0.062285	0.040688	1.333766	0.028672	0.095152	1.290923	0.018866	0.010306	1.348812	-0.021986	0.051524	1.162541	0.025967	-0.161441	1.330294	0.028743	0.037889	1.307364	0.053509	
5	-0.057247	1.423989	-0.087140	-0.079813	1.175044	-0.127650	-0.189543	1.052213	0.107396	-0.193982	1.043798	0.041861	-0.146150	0.825394	0.185120	-0.093941	0.831206	0.172816	-0.171402	1.358412	0.048624	-0.128544	0.917224	0.218697	-0.116326	0.866939	0.236423	-0.089399	0.871022	0.228362	-0.085835	0.923349	0.205579	-0.193486	1.157979	0.139117	-0.239087	1.164888	0.100325	-0.241684	1.228518	0.097865	-0.192135	1.231520	0.129838	0.073159	1.336790	-0.001435	0.047239	1.287662	0.062150	0.040395	1.334063	0.028373	0.094987	1.291350	0.018568	0.009989	1.348996	-0.022166	0.051587	1.162882	0.026066	-0.161661	1.330377	0.029134	0.037789	1.307785	0.053331	
6	-0.057820	1.423948	-0.087301	-0.080134	1.174887	-0.127237	-0.189081	1.052363	0.108226	-0.193742	1.043867	0.042716	-0.145419	0.825598	0.185965	-0.093255	0.831407	0.173467	-0.171557	1.358495	0.048873	-0.207645	0.837471	0.139603	-0.195405	0.787267	0.157190	-0.168508	0.791274	0.149034	-0.165014	0.843602	0.126291	-0.193033	1.158120	0.139838	-0.238797	1.164958	0.101301	-0.241446	1.228590	0.098673	-0.191948	1.231571	0.130559	0.072977	1.337132	-0.001715	0.047147	1.288015	0.062037	0.040177	1.334372	0.028172	0.094859	1.291766	0.018309	0.009677	1.349185	-0.022333	0.051651	1.163230	0.026188	-0.161867	1.330477	0.029552	0.037690	1.308124	0.053209	
7	-0.058381	1.423913	-0.087449	-0.080453	1.174738	-0.126803	-0.188639	1.052523	0.109039	-0.193518	1.043956	0.043555	-0.144748	0.825790	0.186761	-0.092630	0.831584	0.174065	-0.171704	1.358596	0.049135	-0.088299	0.956292	0.258875	-0.076034	0.906103	0.276518	-0.049147	0.910115	0.268299	-0.045716	0.962424	0.245472	-0.192550	1.158322	0.140580	-0.238480	1.165033	0.102120	-0.241253	1.228651	0.099512	-0.191542	1.231804	0.131101	0.072695	1.337405	-0.001998	0.047125	1.288354	0.061893	0.040009	1.334700	0.027950	0.094744	1.292123	0.018086	0.009372	1.349379	-0.022483	0.051713	1.163584	0.026331	-0.162060	1.330593	0.029992	0.037620	1.308450	0.053104	
8	-0.058937	1.423874	-0.087580	-0.080772	1.174585	-0.126335	-0.188226	1.052693	0.109832	-0.193314	1.044060	0.044372	-0.144137	0.825973	0.187514	-0.092066	0.831744	0.174619	-0.171844	1.358707	0.049419	0.957728	2.001855	1.304836	0.970233	1.951701	1.322674	0.997043	1.955745	1.314370	1.000271	2.007926	1.291332	-0.192170	1.158488	0.141291	-0.238240	1.165156	0.103039	-0.241032	1.228768	0.100372	-0.191224	1.232000	0.131823	0.072434	1.337720	-0.002267	0.047004	1.288942	0.061888	0.039870	1.335029	0.027756	0.094607	1.292509	0.017849	0.009072	1.349573	-0.022615	0.051777	1.163942	0.026505	-0.162240	1.330722	0.030446	0.037442	1.308902	0.052863	
9	-0.059476	1.423842	-0.087695	-0.081086	1.174440	-0.125849	-0.187852	1.052871	0.110599	-0.193134	1.044180	0.045162	-0.143582	0.826150	0.188228	-0.091557	0.831894	0.175135	-0.171976	1.358834	0.049715	-9.877904	-8.834245	-9.530732	-9.865448	-8.884478	-9.513082	-9.838609	-8.880323	-9.521530	-9.835426	-8.828142	-9.544431	-0.191801	1.158663	0.142002	-0.238002	1.165288	0.103901	-0.240851	1.228929	0.101178	-0.190993	1.232087	0.132526	0.072153	1.338079	-0.002547	0.047034	1.289359	0.061806	0.039722	1.335349	0.027579	0.094641	1.293013	0.017485	0.008780	1.349770	-0.022728	0.051838	1.164302	0.026699	-0.162407	1.330863	0.030910	0.037355	1.309191	0.052777	
