Mhairi	// User ID
20-6-2024	// Evaluation date
P17_ADL	10-6-2024	14:59:32:128	// Source file name and timestamp
100.000	// Sampling rate
326.071	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.092667	-0.264789	-0.170073	-0.944656	0.003492	-0.237903	0.078449	0.968109	0.943457	-0.206163	0.237798	0.104106	
1	0.092180	-0.264943	-0.169278	-0.944803	0.003474	-0.237890	0.078471	0.968111	0.943451	-0.206097	0.237802	0.104279	
2	0.091631	-0.265111	-0.168589	-0.944932	0.003465	-0.237876	0.078501	0.968112	0.943450	-0.206004	0.237816	0.104442	
3	0.091071	-0.265297	-0.168018	-0.945036	0.003466	-0.237854	0.078537	0.968114	0.943452	-0.205888	0.237841	0.104592	
4	0.090537	-0.265484	-0.167552	-0.945118	0.003476	-0.237811	0.078582	0.968121	0.943457	-0.205769	0.237863	0.104732	
5	0.090075	-0.265706	-0.167203	-0.945161	0.003487	-0.237745	0.078627	0.968134	0.943464	-0.205627	0.237907	0.104847	
6	0.089698	-0.265932	-0.166935	-0.945181	0.003500	-0.237645	0.078676	0.968154	0.943471	-0.205494	0.237950	0.104947	
7	0.089422	-0.266183	-0.166736	-0.945172	0.003507	-0.237512	0.078724	0.968183	0.943477	-0.205362	0.238006	0.105024	
8	0.089246	-0.266455	-0.166578	-0.945139	0.003504	-0.237343	0.078768	0.968221	0.943480	-0.205239	0.238078	0.105077	
9	0.089154	-0.266728	-0.166416	-0.945100	0.003490	-0.237140	0.078811	0.968267	0.943479	-0.205144	0.238146	0.105115	
10	0.089133	-0.267030	-0.166240	-0.945048	0.003458	-0.236913	0.078846	0.968320	0.943473	-0.205059	0.238238	0.105130	
11	0.089148	-0.267323	-0.166000	-0.945005	0.003411	-0.236669	0.078878	0.968377	0.943461	-0.205011	0.238326	0.105134	
12	0.089177	-0.267623	-0.165689	-0.944972	0.003347	-0.236422	0.078906	0.968435	0.943443	-0.204984	0.238423	0.105127	
13	0.089193	-0.267924	-0.165295	-0.944954	0.003269	-0.236189	0.078930	0.968491	0.943420	-0.204977	0.238526	0.105110	
14	0.089168	-0.268197	-0.164805	-0.944965	0.003186	-0.235983	0.078957	0.968539	0.943394	-0.205001	0.238617	0.105096	
15	0.089095	-0.268467	-0.164250	-0.944992	0.003101	-0.235828	0.078983	0.968575	0.943365	-0.205025	0.238718	0.105077	
16	0.088959	-0.268691	-0.163635	-0.945048	0.003030	-0.235733	0.079021	0.968595	0.943336	-0.205066	0.238800	0.105068	
17	0.088768	-0.268880	-0.163008	-0.945120	0.002983	-0.235717	0.079070	0.968595	0.943310	-0.205103	0.238874	0.105065	
18	0.088535	-0.269023	-0.162415	-0.945203	0.002976	-0.235793	0.079135	0.968571	0.943288	-0.205128	0.238937	0.105070	
19	0.088274	-0.269090	-0.161894	-0.945298	0.003027	-0.235964	0.079227	0.968522	0.943273	-0.205150	0.238969	0.105091	
20	0.088020	-0.269104	-0.161520	-0.945382	0.003149	-0.236241	0.079342	0.968445	0.943266	-0.205138	0.238993	0.105118	
21	0.087794	-0.269023	-0.161322	-0.945460	0.003362	-0.236615	0.079493	0.968340	0.943269	-0.205118	0.238982	0.105160	
22	0.087630	-0.268862	-0.161359	-0.945514	0.003678	-0.237086	0.079679	0.968209	0.943281	-0.205072	0.238950	0.105210	
23	0.087553	-0.268614	-0.161664	-0.945540	0.004110	-0.237644	0.079904	0.968052	0.943303	-0.205006	0.238895	0.105265	
24	0.087577	-0.268258	-0.162244	-0.945539	0.004671	-0.238272	0.080173	0.967872	0.943334	-0.204941	0.238801	0.105330	
25	0.087720	-0.267828	-0.163121	-0.945497	0.005362	-0.238961	0.080482	0.967673	0.943372	-0.204859	0.238694	0.105392	
26	0.087972	-0.267293	-0.164258	-0.945428	0.006189	-0.239689	0.080835	0.967459	0.943415	-0.204796	0.238550	0.105459	
27	0.088325	-0.266679	-0.165633	-0.945329	0.007149	-0.240445	0.081229	0.967232	0.943460	-0.204746	0.238384	0.105522	
28	0.088755	-0.265996	-0.167192	-0.945207	0.008235	-0.241213	0.081661	0.966995	0.943507	-0.204719	0.238197	0.105578	
29	0.089222	-0.265233	-0.168859	-0.945081	0.009439	-0.241980	0.082131	0.966753	0.943553	-0.204738	0.237973	0.105635	
30	0.089692	-0.264433	-0.170578	-0.944952	0.010743	-0.242743	0.082629	0.966505	0.943598	-0.204785	0.237737	0.105678	
31	0.090110	-0.263576	-0.172248	-0.944848	0.012137	-0.243495	0.083157	0.966254	0.943640	-0.204884	0.237463	0.105719	
32	0.090432	-0.262692	-0.173802	-0.944779	0.013599	-0.244242	0.083706	0.965999	0.943683	-0.205019	0.237163	0.105749	
33	0.090611	-0.261788	-0.175166	-0.944761	0.015111	-0.244991	0.084269	0.965738	0.943728	-0.205182	0.236834	0.105770	
34	0.090600	-0.260847	-0.176268	-0.944817	0.016660	-0.245751	0.084843	0.965469	0.943779	-0.205376	0.236456	0.105786	
35	0.090374	-0.259901	-0.177081	-0.944948	0.018225	-0.246543	0.085415	0.965188	0.943841	-0.205558	0.236051	0.105787	
36	0.089900	-0.258907	-0.177559	-0.945176	0.019797	-0.247381	0.085983	0.964893	0.943919	-0.205734	0.235585	0.105782	
37	0.089172	-0.257871	-0.177708	-0.945500	0.021365	-0.248287	0.086536	0.964577	0.944022	-0.205863	0.235069	0.105762	
38	0.088189	-0.256768	-0.177543	-0.945924	0.022923	-0.249281	0.087064	0.964237	0.944156	-0.205920	0.234497	0.105725	
39	0.086958	-0.255546	-0.177089	-0.946453	0.024474	-0.250378	0.087561	0.963870	0.944328	-0.205895	0.233847	0.105675	
40	0.085508	-0.254203	-0.176418	-0.947072	0.026015	-0.251599	0.088012	0.963470	0.944546	-0.205736	0.233140	0.105597	
41	0.083859	-0.252661	-0.175574	-0.947789	0.027560	-0.252950	0.088413	0.963037	0.944816	-0.205446	0.232344	0.105499	
42	0.082052	-0.250895	-0.174643	-0.948588	0.029115	-0.254442	0.088748	0.962567	0.945143	-0.204991	0.231474	0.105368	
43	0.080120	-0.248857	-0.173698	-0.949463	0.030695	-0.256077	0.089007	0.962060	0.945531	-0.204355	0.230527	0.105200	
44	0.078092	-0.246478	-0.172796	-0.950417	0.032316	-0.257849	0.089184	0.961517	0.945981	-0.203546	0.229485	0.104998	
45	0.076006	-0.243749	-0.172016	-0.951431	0.033989	-0.259759	0.089260	0.960938	0.946495	-0.202534	0.228376	0.104747	
