

Sample #	C7_X	C7_Y	C7_Z	T8_X	T8_Y	T8_Z	EL_X	EL_Y	EL_Z	EM_X	EM_Y	EM_Z	US_X	US_Y	US_Z	RS_X	RS_Y	RS_Z	AA_X	AA_Y	AA_Z	Fore_Clus_1_X	Fore_Clus_1_Y	Fore_Clus_1_Z	Fore_Clus_2_X	Fore_Clus_2_Y	Fore_Clus_2_Z	Fore_Clus_3_X	Fore_Clus_3_Y	Fore_Clus_3_Z	Fore_Clus_4_X	Fore_Clus_4_Y	Fore_Clus_4_Z	Hum_Clus_1_X	Hum_Clus_1_Y	Hum_Clus_1_Z	Hum_Clus_2_X	Hum_Clus_2_Y	Hum_Clus_2_Z	Hum_Clus_3_X	Hum_Clus_3_Y	Hum_Clus_3_Z	Hum_Clus_4_X	Hum_Clus_4_Y	Hum_Clus_4_Z	Thor_Clus_1_X	Thor_Clus_1_Y	Thor_Clus_1_Z	Thor_Clus_2_X	Thor_Clus_2_Y	Thor_Clus_2_Z	Thor_Clus_3_X	Thor_Clus_3_Y	Thor_Clus_3_Z	Thor_Clus_4_X	Thor_Clus_4_Y	Thor_Clus_4_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	GH_X	GH_Y	GH_Z	Thor_Clus_5_X	Thor_Clus_5_Y	Thor_Clus_5_Z	
0	-0.014905	1.486240	-0.042538	-0.069543	1.282062	-0.135852	-0.242757	1.121902	0.148361	-0.213017	1.095715	0.092046	-0.308420	0.897202	0.193545	-0.260309	0.884051	0.205745	-0.167847	1.393454	0.110379	-0.301847	0.948923	0.223914	-0.313343	0.895665	0.229675	-0.286858	0.891025	0.237160	-0.259170	0.941564	0.236347	-0.251279	1.199924	0.183675	-0.276434	1.212223	0.130493	-0.275970	1.275816	0.132776	-0.243616	1.273869	0.181801	0.099278	1.358171	0.104449	0.059779	1.314889	0.165407	0.061016	1.358593	0.127395	0.114673	1.313873	0.131813	0.039304	1.376338	0.051638	0.082242	1.160196	0.129158	-0.141056	1.374671	0.111319	0.052408	1.334264	0.152985	
1	-0.014779	1.486344	-0.042448	-0.069605	1.282211	-0.135752	-0.242374	1.122014	0.148624	-0.212533	1.095811	0.092370	-0.307977	0.897438	0.193985	-0.259880	0.884320	0.206274	-0.167845	1.393729	0.110448	-0.301402	0.949190	0.224314	-0.312879	0.895988	0.230100	-0.286468	0.891264	0.237557	-0.258691	0.941790	0.236745	-0.251161	1.200029	0.183766	-0.276297	1.212168	0.130520	-0.276025	1.275758	0.132693	-0.243737	1.274001	0.181767	0.099194	1.358125	0.104549	0.059665	1.314928	0.165570	0.060971	1.358623	0.127565	0.114581	1.313848	0.131971	0.039301	1.376396	0.051750	0.082004	1.160220	0.129302	-0.141363	1.375002	0.111186	0.052337	1.334301	0.153116	
2	-0.014684	1.486402	-0.042372	-0.069674	1.282294	-0.135634	-0.241981	1.122025	0.148871	-0.212051	1.095822	0.092664	-0.307388	0.897513	0.194390	-0.259295	0.884456	0.206760	-0.167835	1.393948	0.110536	-0.300891	0.949329	0.224693	-0.312428	0.896133	0.230443	-0.285958	0.891373	0.237913	-0.258231	0.941974	0.237221	-0.251008	1.200082	0.183896	-0.276136	1.212072	0.130606	-0.276038	1.275653	0.132685	-0.243767	1.274080	0.181797	0.099171	1.358107	0.104708	0.059578	1.314961	0.165730	0.060943	1.358656	0.127703	0.114507	1.313830	0.132105	0.039300	1.376430	0.051853	0.081819	1.160235	0.129455	-0.141709	1.375251	0.111058	0.052267	1.334366	0.153253	
3	-0.014616	1.486420	-0.042303	-0.069746	1.282322	-0.135502	-0.241586	1.121940	0.149097	-0.211586	1.095755	0.092919	-0.306657	0.897428	0.194747	-0.258560	0.884463	0.207193	-0.167815	1.394109	0.110644	-0.300317	0.949340	0.224986	-0.311840	0.896126	0.230747	-0.285380	0.891371	0.238411	-0.257701	0.941973	0.237592	-0.250740	1.200044	0.184073	-0.275931	1.211917	0.130746	-0.275987	1.275494	0.132768	-0.243682	1.274048	0.181871	0.099161	1.358074	0.104856	0.059482	1.315067	0.165881	0.060920	1.358695	0.127827	0.114482	1.313836	0.132232	0.039303	1.376441	0.051950	0.081689	1.160240	0.129609	-0.142078	1.375416	0.110945	0.052242	1.334414	0.153401	
4	-0.014575	1.486410	-0.042230	-0.069815	1.282310	-0.135361	-0.241200	1.121768	0.149296	-0.211153	1.095617	0.093127	-0.305792	0.897189	0.195041	-0.257681	0.884349	0.207565	-0.167786	1.394211	0.110772	-0.299698	0.949226	0.225188	-0.311201	0.895978	0.231028	-0.284748	0.891263	0.238745	-0.257087	0.941980	0.237915	-0.250361	1.199879	0.184241	-0.275636	1.211655	0.130961	-0.275910	1.275250	0.132954	-0.243515	1.273870	0.181999	0.099148	1.358058	0.104915	0.059458	1.315129	0.166007	0.060911	1.358702	0.127929	0.114492	1.313838	0.132341	0.039314	1.376432	0.052043	0.081616	1.160234	0.129755	-0.142453	1.375497	0.110854	0.052230	1.334408	0.153474	
5	-0.014556	1.486365	-0.042161	-0.069873	1.282253	-0.135218	-0.240830	1.121517	0.149461	-0.210761	1.095419	0.093279	-0.304799	0.896801	0.195263	-0.256668	0.884124	0.207876	-0.167747	1.394248	0.110911	-0.299064	0.948965	0.225255	-0.310307	0.895627	0.231108	-0.283964	0.891096	0.238863	-0.256437	0.941889	0.238167	-0.249985	1.199620	0.184430	-0.275409	1.211318	0.131187	-0.275807	1.274903	0.133200	-0.243321	1.273614	0.182131	0.099202	1.358003	0.105014	0.059502	1.315171	0.166107	0.060936	1.358714	0.128031	0.114520	1.313850	0.132431	0.039331	1.376401	0.052129	0.081602	1.160215	0.129891	-0.142820	1.375498	0.110794	0.052274	1.334428	0.153562	
6	-0.014557	1.486308	-0.042076	-0.069921	1.282182	-0.135075	-0.240486	1.121198	0.149588	-0.210421	1.095169	0.093372	-0.303687	0.896279	0.195405	-0.255530	0.883802	0.208119	-0.167699	1.394230	0.111068	-0.298407	0.948547	0.225250	-0.309418	0.895197	0.231027	-0.283075	0.890775	0.238888	-0.255778	0.941664	0.238225	-0.249616	1.199248	0.184607	-0.275217	1.210907	0.131456	-0.275741	1.274522	0.133529	-0.243127	1.273300	0.182334	0.099203	1.357972	0.105037	0.059599	1.315186	0.166188	0.060964	1.358730	0.128142	0.114570	1.313841	0.132511	0.039357	1.376357	0.052215	0.081640	1.160183	0.130002	-0.143169	1.375421	0.110766	0.052324	1.334502	0.153698	
7	-0.014574	1.486234	-0.041981	-0.069954	1.282094	-0.134938	-0.240173	1.120823	0.149672	-0.210135	1.094878	0.093402	-0.302465	0.895638	0.195463	-0.254280	0.883400	0.208299	-0.167645	1.394155	0.111234	-0.297687	0.948006	0.225175	-0.308522	0.894623	0.230969	-0.282106	0.890343	0.238942	-0.255172	0.941337	0.238605	-0.249289	1.198835	0.184766	-0.275075	1.210477	0.131677	-0.275702	1.274099	0.133881	-0.242955	1.272881	0.182535	0.099308	1.357968	0.105112	0.059669	1.315174	0.166241	0.061051	1.358694	0.128184	0.114637	1.313808	0.132597	0.039389	1.376299	0.052299	0.081727	1.160136	0.130090	-0.143489	1.375276	0.110772	0.052425	1.334465	0.153738	
8	-0.014604	1.486157	-0.041869	-0.069973	1.282005	-0.134810	-0.239894	1.120403	0.149710	-0.209905	1.094554	0.093370	-0.301147	0.894894	0.195437	-0.252931	0.882934	0.208418	-0.167585	1.394032	0.111409	-0.296898	0.947260	0.224981	-0.307342	0.893770	0.230821	-0.281096	0.889719	0.239187	-0.254649	0.941129	0.238712	-0.249019	1.198395	0.184930	-0.275015	1.210029	0.131995	-0.275747	1.273664	0.134193	-0.242989	1.272616	0.182956	0.099418	1.357945	0.105169	0.059876	1.315036	0.166283	0.061161	1.358633	0.128244	0.114748	1.313763	0.132605	0.039428	1.376231	0.052383	0.081855	1.160076	0.130147	-0.143777	1.375071	0.110810	0.052554	1.334428	0.153803	
9	-0.014645	1.486087	-0.041733	-0.069981	1.281935	-0.134692	-0.239651	1.119950	0.149700	-0.209727	1.094208	0.093278	-0.299747	0.894070	0.195328	-0.251500	0.882422	0.208477	-0.167522	1.393872	0.111595	-0.295945	0.946439	0.224855	-0.305915	0.892840	0.230648	-0.279696	0.889033	0.239001	-0.253477	0.940495	0.238756	-0.248859	1.197881	0.185093	-0.275081	1.209616	0.132279	-0.275861	1.273213	0.134513	-0.242671	1.271878	0.182934	0.099545	1.357912	0.105228	0.060071	1.314882	0.166337	0.061283	1.358559	0.128301	0.114875	1.313697	0.132610	0.039471	1.376161	0.052471	0.082014	1.160005	0.130169	-0.144028	1.374816	0.110875	0.052684	1.334338	0.153838	
