Mhairi	// User ID
25-6-2024	// Evaluation date
P22_ADL	24-6-2024	12:18:49:958	// Source file name and timestamp
100.000	// Sampling rate
312.057	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.095551	-0.096349	-0.110820	-0.984533	0.013038	0.203951	-0.046260	-0.977801	0.911664	-0.262266	0.297399	0.107884	
1	0.095607	-0.096510	-0.110928	-0.984500	0.012954	0.203594	-0.046247	-0.977877	0.911690	-0.262247	0.297445	0.107584	
2	0.095649	-0.096657	-0.110992	-0.984474	0.012872	0.203254	-0.046234	-0.977949	0.911719	-0.262221	0.297494	0.107260	
3	0.095701	-0.096778	-0.111027	-0.984453	0.012793	0.202922	-0.046227	-0.978019	0.911743	-0.262220	0.297529	0.106967	
4	0.095742	-0.096889	-0.111023	-0.984439	0.012718	0.202609	-0.046227	-0.978085	0.911763	-0.262226	0.297566	0.106680	
5	0.095768	-0.096995	-0.110982	-0.984430	0.012648	0.202316	-0.046237	-0.978146	0.911776	-0.262242	0.297610	0.106405	
6	0.095793	-0.097093	-0.110918	-0.984426	0.012583	0.202036	-0.046260	-0.978204	0.911777	-0.262287	0.297650	0.106176	
7	0.095788	-0.097205	-0.110818	-0.984426	0.012525	0.201780	-0.046295	-0.978256	0.911769	-0.262333	0.297714	0.105948	
8	0.095775	-0.097320	-0.110705	-0.984429	0.012471	0.201533	-0.046344	-0.978305	0.911746	-0.262408	0.297780	0.105773	
9	0.095738	-0.097452	-0.110573	-0.984434	0.012422	0.201301	-0.046406	-0.978351	0.911711	-0.262494	0.297864	0.105624	
10	0.095675	-0.097605	-0.110430	-0.984441	0.012378	0.201077	-0.046478	-0.978394	0.911664	-0.262587	0.297969	0.105501	
11	0.095604	-0.097772	-0.110292	-0.984447	0.012336	0.200851	-0.046561	-0.978437	0.911602	-0.262701	0.298082	0.105436	
12	0.095498	-0.097971	-0.110150	-0.984454	0.012296	0.200629	-0.046647	-0.978479	0.911534	-0.262802	0.298224	0.105378	
