

Sample #	C7_X	C7_Y	C7_Z	T8_X	T8_Y	T8_Z	EL_X	EL_Y	EL_Z	EM_X	EM_Y	EM_Z	US_X	US_Y	US_Z	RS_X	RS_Y	RS_Z	AA_X	AA_Y	AA_Z	Fore_Clus_1_X	Fore_Clus_1_Y	Fore_Clus_1_Z	Fore_Clus_2_X	Fore_Clus_2_Y	Fore_Clus_2_Z	Fore_Clus_3_X	Fore_Clus_3_Y	Fore_Clus_3_Z	Fore_Clus_4_X	Fore_Clus_4_Y	Fore_Clus_4_Z	Hum_Clus_1_X	Hum_Clus_1_Y	Hum_Clus_1_Z	Hum_Clus_2_X	Hum_Clus_2_Y	Hum_Clus_2_Z	Hum_Clus_3_X	Hum_Clus_3_Y	Hum_Clus_3_Z	Hum_Clus_4_X	Hum_Clus_4_Y	Hum_Clus_4_Z	Thor_Clus_1_X	Thor_Clus_1_Y	Thor_Clus_1_Z	Thor_Clus_2_X	Thor_Clus_2_Y	Thor_Clus_2_Z	Thor_Clus_3_X	Thor_Clus_3_Y	Thor_Clus_3_Z	Thor_Clus_4_X	Thor_Clus_4_Y	Thor_Clus_4_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	GH_X	GH_Y	GH_Z	Thor_Clus_5_X	Thor_Clus_5_Y	Thor_Clus_5_Z	
0	-0.050857	1.456840	-0.057476	-0.056638	1.225685	-0.107555	-0.225010	1.063743	0.047977	-0.177313	1.068622	-0.001507	-0.202894	0.832394	0.112112	-0.156097	0.843263	0.138812	-0.180572	1.376099	0.046100	-0.225031	0.879042	0.128050	-0.218706	0.827171	0.143045	-0.196249	0.834452	0.158287	-0.189133	0.891262	0.152467	-0.193255	1.166682	0.106418	-0.239261	1.185113	0.072169	-0.235671	1.248044	0.082418	-0.184848	1.240474	0.110926	0.086733	1.362686	0.049228	0.055026	1.305286	0.102277	0.050515	1.355781	0.074657	0.106843	1.315129	0.064817	0.021289	1.372588	0.024248	0.065627	1.195078	0.061867	-0.155717	1.352181	0.040325	0.045984	1.326201	0.095084	
1	-0.050931	1.456873	-0.057448	-0.056692	1.225720	-0.107537	-0.225057	1.063772	0.048050	-0.177369	1.068662	-0.001441	-0.202938	0.832418	0.112165	-0.156105	0.843280	0.138805	-0.180624	1.376112	0.046141	-0.225035	0.879024	0.128154	-0.218714	0.827169	0.143142	-0.196243	0.834449	0.158348	-0.189133	0.891254	0.152515	-0.193305	1.166691	0.106508	-0.239312	1.185122	0.072268	-0.235724	1.248060	0.082531	-0.184893	1.240471	0.111008	0.086669	1.362706	0.049192	0.054995	1.305320	0.102286	0.050440	1.355796	0.074647	0.106804	1.315164	0.064802	0.021234	1.372625	0.024263	0.065598	1.195118	0.061867	-0.155792	1.352217	0.040432	0.045942	1.326232	0.095087	
2	-0.051009	1.456901	-0.057419	-0.056758	1.225747	-0.107510	-0.225116	1.063808	0.048133	-0.177439	1.068709	-0.001367	-0.203003	0.832449	0.112233	-0.156130	0.843300	0.138806	-0.180676	1.376126	0.046192	-0.225063	0.879038	0.128281	-0.218706	0.827184	0.143226	-0.196210	0.834454	0.158385	-0.189128	0.891270	0.152571	-0.193338	1.166723	0.106600	-0.239360	1.185165	0.072382	-0.235784	1.248083	0.082661	-0.184928	1.240498	0.111106	0.086599	1.362742	0.049268	0.054953	1.305351	0.102303	0.050391	1.355846	0.074673	0.106746	1.315196	0.064806	0.021178	1.372658	0.024279	0.065565	1.195154	0.061873	-0.155866	1.352258	0.040548	0.045890	1.326265	0.095124	
3	-0.051093	1.456923	-0.057388	-0.056836	1.225767	-0.107471	-0.225185	1.063851	0.048227	-0.177523	1.068761	-0.001286	-0.203085	0.832486	0.112313	-0.156170	0.843325	0.138816	-0.180730	1.376141	0.046255	-0.225085	0.879048	0.128376	-0.218741	0.827190	0.143303	-0.196238	0.834468	0.158462	-0.189154	0.891276	0.152656	-0.193392	1.166743	0.106707	-0.239424	1.185184	0.072507	-0.235853	1.248122	0.082798	-0.184986	1.240526	0.111237	0.086545	1.362775	0.049283	0.054912	1.305380	0.102324	0.050341	1.355863	0.074689	0.106697	1.315223	0.064813	0.021119	1.372688	0.024296	0.065527	1.195188	0.061885	-0.155939	1.352303	0.040675	0.045844	1.326303	0.095141	
4	-0.051183	1.456941	-0.057353	-0.056929	1.225783	-0.107422	-0.225264	1.063900	0.048331	-0.177619	1.068818	-0.001199	-0.203185	0.832528	0.112403	-0.156225	0.843353	0.138833	-0.180786	1.376159	0.046332	-0.225124	0.879084	0.128472	-0.218775	0.827246	0.143410	-0.196259	0.834498	0.158523	-0.189181	0.891307	0.152729	-0.193430	1.166794	0.106809	-0.239482	1.185230	0.072642	-0.235907	1.248168	0.082941	-0.185036	1.240575	0.111350	0.086478	1.362806	0.049271	0.054877	1.305403	0.102327	0.050303	1.355906	0.074693	0.106614	1.315249	0.064825	0.021058	1.372714	0.024314	0.065486	1.195219	0.061900	-0.156011	1.352351	0.040811	0.045785	1.326321	0.095183	
5	-0.051279	1.456953	-0.057318	-0.057032	1.225790	-0.107365	-0.225356	1.063954	0.048445	-0.177732	1.068879	-0.001104	-0.203297	0.832573	0.112505	-0.156293	0.843383	0.138862	-0.180843	1.376174	0.046418	-0.225184	0.879093	0.128589	-0.218860	0.827274	0.143541	-0.196314	0.834526	0.158605	-0.189229	0.891336	0.152808	-0.193512	1.166823	0.106921	-0.239573	1.185267	0.072786	-0.235994	1.248200	0.083096	-0.185097	1.240610	0.111473	0.086392	1.362820	0.049313	0.054838	1.305427	0.102343	0.050241	1.355916	0.074710	0.106554	1.315282	0.064827	0.020993	1.372737	0.024332	0.065442	1.195247	0.061918	-0.156080	1.352400	0.040957	0.045758	1.326353	0.095203	
6	-0.051381	1.456965	-0.057277	-0.057148	1.225797	-0.107301	-0.225456	1.064012	0.048568	-0.177855	1.068942	-0.001004	-0.203422	0.832621	0.112612	-0.156374	0.843416	0.138899	-0.180901	1.376192	0.046518	-0.225367	0.879251	0.128734	-0.218915	0.827329	0.143642	-0.196353	0.834557	0.158696	-0.189276	0.891381	0.152882	-0.193569	1.166887	0.107038	-0.239650	1.185348	0.072953	-0.236074	1.248263	0.083249	-0.185148	1.240683	0.111575	0.086313	1.362845	0.049291	0.054794	1.305459	0.102354	0.050201	1.355969	0.074723	0.106504	1.315299	0.064815	0.020926	1.372758	0.024351	0.065395	1.195273	0.061936	-0.156148	1.352451	0.041113	0.045721	1.326366	0.095200	
7	-0.051489	1.456973	-0.057234	-0.057272	1.225801	-0.107233	-0.225566	1.064073	0.048699	-0.177992	1.069008	-0.000898	-0.203555	0.832670	0.112727	-0.156467	0.843450	0.138947	-0.180961	1.376207	0.046626	-0.225797	0.879534	0.128973	-0.219018	0.827376	0.143792	-0.196440	0.834594	0.158788	-0.189352	0.891407	0.152968	-0.193645	1.166930	0.107154	-0.239766	1.185397	0.073149	-0.236156	1.248309	0.083418	-0.185183	1.240648	0.111898	0.086293	1.362883	0.049277	0.054764	1.305477	0.102359	0.050149	1.355982	0.074729	0.106453	1.315321	0.064800	0.020856	1.372776	0.024370	0.065346	1.195295	0.061952	-0.156213	1.352503	0.041276	0.045686	1.326477	0.095253	
8	-0.051600	1.456983	-0.057186	-0.057404	1.225806	-0.107164	-0.225685	1.064136	0.048837	-0.178141	1.069074	-0.000787	-0.203695	0.832721	0.112847	-0.156570	0.843485	0.139007	-0.181022	1.376223	0.046742	-0.225825	0.879570	0.129077	-0.219112	0.827452	0.143929	-0.196498	0.834627	0.158867	-0.189430	0.891466	0.153060	-0.193723	1.167000	0.107288	-0.239870	1.185479	0.073313	-0.236225	1.248365	0.083566	-0.185232	1.240760	0.111904	0.086241	1.362917	0.049252	0.054731	1.305488	0.102360	0.050120	1.356025	0.074738	0.106416	1.315339	0.064780	0.020785	1.372793	0.024391	0.065295	1.195316	0.061966	-0.156277	1.352553	0.041447	0.045646	1.326435	0.095234	
9	-0.051715	1.456997	-0.057131	-0.057544	1.225817	-0.107095	-0.225810	1.064201	0.048981	-0.178296	1.069140	-0.000673	-0.203841	0.832771	0.112970	-0.156683	0.843521	0.139076	-0.181084	1.376241	0.046867	-0.225960	0.879615	0.129241	-0.219211	0.827486	0.144066	-0.196576	0.834639	0.158976	-0.189514	0.891490	0.153167	-0.193813	1.167042	0.107431	-0.239970	1.185518	0.073489	-0.236303	1.248408	0.083740	-0.185271	1.240698	0.112210	0.086194	1.362955	0.049239	0.054712	1.305516	0.102350	0.050069	1.356022	0.074738	0.106369	1.315372	0.064744	0.020712	1.372811	0.024412	0.065241	1.195336	0.061973	-0.156339	1.352603	0.041623	0.045619	1.326555	0.095300	
