Mhairi	// User ID
15-7-2024	// Evaluation date
P1_CP	10-7-2024	14:23:59:714	// Source file name and timestamp
100.000	// Sampling rate
108.084	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.152116	0.039931	-0.108811	-0.981543	0.021924	0.127928	-0.064957	-0.989411	0.943401	-0.174855	0.269020	0.083955	
1	0.152416	0.039669	-0.109551	-0.981425	0.022386	0.128081	-0.065509	-0.989345	0.943257	-0.175390	0.269071	0.084288	
2	0.152684	0.039346	-0.110285	-0.981314	0.022841	0.128159	-0.066044	-0.989289	0.943104	-0.175944	0.269141	0.084627	
3	0.152989	0.039005	-0.110959	-0.981204	0.023288	0.128164	-0.066548	-0.989244	0.942940	-0.176507	0.269241	0.084960	
4	0.153277	0.038610	-0.111605	-0.981101	0.023726	0.128096	-0.067029	-0.989210	0.942765	-0.177087	0.269369	0.085289	
5	0.153594	0.038192	-0.112190	-0.981001	0.024156	0.127960	-0.067479	-0.989186	0.942580	-0.177675	0.269531	0.085606	
6	0.153944	0.037757	-0.112709	-0.980904	0.024580	0.127762	-0.067898	-0.989173	0.942385	-0.178267	0.269725	0.085908	
7	0.154292	0.037293	-0.113184	-0.980812	0.024996	0.127508	-0.068293	-0.989168	0.942183	-0.178864	0.269943	0.086199	
8	0.154703	0.036849	-0.113574	-0.980719	0.025408	0.127211	-0.068656	-0.989170	0.941976	-0.179455	0.270185	0.086473	
9	0.155113	0.036400	-0.113923	-0.980631	0.025817	0.126875	-0.068999	-0.989179	0.941768	-0.180042	0.270434	0.086738	
10	0.155560	0.035982	-0.114208	-0.980542	0.026225	0.126513	-0.069319	-0.989192	0.941563	-0.180617	0.270683	0.086994	
11	0.156040	0.035610	-0.114435	-0.980453	0.026636	0.126133	-0.069620	-0.989209	0.941364	-0.181177	0.270920	0.087244	
12	0.156513	0.035272	-0.114637	-0.980366	0.027050	0.125744	-0.069911	-0.989227	0.941176	-0.181723	0.271126	0.087496	
13	0.157036	0.035020	-0.114779	-0.980275	0.027472	0.125358	-0.070185	-0.989244	0.941002	-0.182247	0.271296	0.087749	
14	0.157544	0.034826	-0.114910	-0.980185	0.027903	0.124982	-0.070454	-0.989261	0.940845	-0.182754	0.271413	0.088013	
15	0.158071	0.034723	-0.115014	-0.980092	0.028344	0.124627	-0.070715	-0.989275	0.940708	-0.183240	0.271471	0.088288	
16	0.158615	0.034715	-0.115098	-0.979994	0.028798	0.124304	-0.070968	-0.989284	0.940592	-0.183705	0.271465	0.088576	
17	0.159134	0.034782	-0.115195	-0.979896	0.029262	0.124021	-0.071221	-0.989288	0.940498	-0.184155	0.271387	0.088882	
18	0.159689	0.034959	-0.115271	-0.979791	0.029738	0.123791	-0.071463	-0.989285	0.940425	-0.184582	0.271244	0.089199	
19	0.160216	0.035203	-0.115373	-0.979684	0.030221	0.123622	-0.071703	-0.989274	0.940373	-0.184995	0.271033	0.089530	
20	0.160750	0.035528	-0.115480	-0.979572	0.030709	0.123524	-0.071933	-0.989255	0.940340	-0.185391	0.270766	0.089869	
21	0.161289	0.035921	-0.115598	-0.979455	0.031198	0.123505	-0.072152	-0.989226	0.940323	-0.185768	0.270454	0.090210	
22	0.161794	0.036343	-0.115754	-0.979338	0.031682	0.123569	-0.072361	-0.989187	0.940319	-0.186133	0.270102	0.090550	
23	0.162321	0.036815	-0.115910	-0.979215	0.032157	0.123722	-0.072551	-0.989139	0.940326	-0.186475	0.269734	0.090878	
24	0.162807	0.037278	-0.116105	-0.979093	0.032614	0.123963	-0.072727	-0.989081	0.940339	-0.186800	0.269355	0.091192	
25	0.163285	0.037738	-0.116314	-0.978971	0.033049	0.124289	-0.072882	-0.989014	0.940357	-0.187103	0.268984	0.091483	
26	0.163749	0.038177	-0.116534	-0.978851	0.033455	0.124694	-0.073014	-0.988939	0.940376	-0.187379	0.268637	0.091743	
27	0.164157	0.038555	-0.116784	-0.978738	0.033827	0.125164	-0.073126	-0.988859	0.940394	-0.187633	0.268319	0.091971	
28	0.164565	0.038896	-0.117019	-0.978628	0.034160	0.125690	-0.073211	-0.988775	0.940408	-0.187853	0.268049	0.092159	
29	0.164905	0.039155	-0.117271	-0.978530	0.034450	0.126250	-0.073275	-0.988688	0.940418	-0.188045	0.267828	0.092310	
30	0.165212	0.039347	-0.117506	-0.978442	0.034693	0.126827	-0.073316	-0.988603	0.940422	-0.188204	0.267666	0.092419	
31	0.165482	0.039474	-0.117715	-0.978366	0.034889	0.127399	-0.073332	-0.988521	0.940418	-0.188329	0.267565	0.092488	
32	0.165673	0.039513	-0.117911	-0.978309	0.035035	0.127941	-0.073332	-0.988446	0.940408	-0.188426	0.267523	0.092522	
33	0.165847	0.039510	-0.118043	-0.978264	0.035132	0.128437	-0.073308	-0.988380	0.940389	-0.188489	0.267544	0.092520	
34	0.165941	0.039437	-0.118143	-0.978239	0.035181	0.128862	-0.073270	-0.988326	0.940363	-0.188529	0.267619	0.092491	
35	0.165995	0.039328	-0.118175	-0.978230	0.035183	0.129202	-0.073215	-0.988286	0.940328	-0.188545	0.267748	0.092438	
36	0.166012	0.039198	-0.118134	-0.978237	0.035142	0.129445	-0.073146	-0.988260	0.940286	-0.188541	0.267924	0.092367	
37	0.165956	0.039036	-0.118039	-0.978265	0.035059	0.129581	-0.073068	-0.988251	0.940236	-0.188528	0.268137	0.092284	
38	0.165895	0.038892	-0.117848	-0.978304	0.034939	0.129610	-0.072975	-0.988259	0.940179	-0.188502	0.268388	0.092191	
39	0.165769	0.038737	-0.117601	-0.978361	0.034784	0.129531	-0.072875	-0.988282	0.940114	-0.188475	0.268664	0.092096	
40	0.165621	0.038604	-0.117280	-0.978430	0.034598	0.129356	-0.072765	-0.988319	0.940044	-0.188448	0.268964	0.092000	
41	0.165453	0.038497	-0.116891	-0.978509	0.034386	0.129096	-0.072646	-0.988370	0.939968	-0.188421	0.269280	0.091903	
42	0.165229	0.038393	-0.116472	-0.978601	0.034150	0.128767	-0.072522	-0.988430	0.939887	-0.188404	0.269604	0.091811	
43	0.165012	0.038329	-0.115995	-0.978697	0.033895	0.128393	-0.072385	-0.988497	0.939804	-0.188386	0.269938	0.091717	
44	0.164737	0.038261	-0.115516	-0.978802	0.033623	0.127995	-0.072245	-0.988568	0.939720	-0.188376	0.270270	0.091625	
45	0.164441	0.038207	-0.115030	-0.978911	0.033339	0.127597	-0.072097	-0.988640	0.939636	-0.188365	0.270600	0.091532	
46	0.164120	0.038159	-0.114553	-0.979023	0.033047	0.127224	-0.071941	-0.988709	0.939556	-0.188350	0.270922	0.091433	
47	0.163731	0.038085	-0.114127	-0.979141	0.032748	0.126895	-0.071785	-0.988773	0.939481	-0.188331	0.271229	0.091330	
48	0.163332	0.038017	-0.113729	-0.979256	0.032447	0.126633	-0.071620	-0.988829	0.939415	-0.188296	0.271523	0.091216	
49	0.162857	0.037910	-0.113410	-0.979377	0.032147	0.126449	-0.071457	-0.988874	0.939359	-0.188245	0.271792	0.091093	
50	0.162341	0.037786	-0.113158	-0.979496	0.031849	0.126358	-0.071293	-0.988907	0.939316	-0.188171	0.272037	0.090957	
51	0.161785	0.037645	-0.112975	-0.979615	0.031557	0.126363	-0.071130	-0.988927	0.939288	-0.188068	0.272255	0.090807	
52	0.161153	0.037467	-0.112889	-0.979736	0.031270	0.126466	-0.070975	-0.988934	0.939276	-0.187938	0.272437	0.090647	
53	0.160512	0.037296	-0.112855	-0.979851	0.030993	0.126664	-0.070822	-0.988929	0.939282	-0.187772	0.272590	0.090472	
54	0.159809	0.037106	-0.112904	-0.979968	0.030723	0.126945	-0.070680	-0.988911	0.939306	-0.187578	0.272704	0.090290	
55	0.159095	0.036930	-0.112999	-0.980080	0.030461	0.127300	-0.070547	-0.988883	0.939346	-0.187352	0.272783	0.090099	
56	0.158384	0.036783	-0.113123	-0.980186	0.030209	0.127712	-0.070423	-0.988847	0.939402	-0.187097	0.272830	0.089903	
57	0.157655	0.036654	-0.113282	-0.980290	0.029962	0.128161	-0.070314	-0.988804	0.939471	-0.186824	0.272843	0.089707	
58	0.156990	0.036596	-0.113416	-0.980383	0.029723	0.128631	-0.070210	-0.988757	0.939552	-0.186530	0.272832	0.089511	
59	0.156345	0.036580	-0.113545	-0.980472	0.029489	0.129100	-0.070121	-0.988710	0.939640	-0.186230	0.272795	0.089322	
60	0.155778	0.036639	-0.113624	-0.980551	0.029258	0.129549	-0.070038	-0.988664	0.939732	-0.185927	0.272743	0.089140	
61	0.155305	0.036776	-0.113638	-0.980619	0.029030	0.129963	-0.069960	-0.988621	0.939826	-0.185626	0.272683	0.088966	
62	0.154902	0.036967	-0.113599	-0.980680	0.028805	0.130324	-0.069891	-0.988585	0.939916	-0.185339	0.272617	0.088806	
63	0.154639	0.037245	-0.113459	-0.980728	0.028582	0.130622	-0.069819	-0.988558	0.940002	-0.185063	0.272559	0.088654	
64	0.154459	0.037561	-0.113256	-0.980767	0.028361	0.130844	-0.069751	-0.988539	0.940079	-0.184811	0.272507	0.088517	
65	0.154398	0.037925	-0.112968	-0.980796	0.028145	0.130987	-0.069678	-0.988532	0.940147	-0.184580	0.272473	0.088390	
66	0.154448	0.038318	-0.112605	-0.980815	0.027935	0.131047	-0.069599	-0.988535	0.940203	-0.184369	0.272459	0.088273	
67	0.154559	0.038694	-0.112204	-0.980828	0.027732	0.131022	-0.069518	-0.988550	0.940248	-0.184184	0.272464	0.088167	
68	0.154772	0.039070	-0.111745	-0.980832	0.027542	0.130917	-0.069425	-0.988576	0.940281	-0.184013	0.272498	0.088065	
69	0.155004	0.039382	-0.111289	-0.980835	0.027365	0.130734	-0.069328	-0.988612	0.940304	-0.183861	0.272552	0.087971	
70	0.155265	0.039633	-0.110835	-0.980835	0.027207	0.130481	-0.069222	-0.988657	0.940318	-0.183718	0.272629	0.087881	
71	0.155528	0.039802	-0.110407	-0.980835	0.027069	0.130166	-0.069108	-0.988710	0.940326	-0.183579	0.272726	0.087792	
72	0.155728	0.039848	-0.110051	-0.980841	0.026955	0.129794	-0.068993	-0.988770	0.940328	-0.183443	0.272835	0.087707	
73	0.155900	0.039798	-0.109749	-0.980850	0.026868	0.129380	-0.068870	-0.988836	0.940329	-0.183298	0.272959	0.087620	
74	0.155962	0.039605	-0.109556	-0.980869	0.026808	0.128928	-0.068750	-0.988905	0.940329	-0.183149	0.273086	0.087536	
75	0.155933	0.039292	-0.109460	-0.980897	0.026775	0.128448	-0.068629	-0.988976	0.940331	-0.182988	0.273214	0.087451	
76	0.155806	0.038863	-0.109466	-0.980934	0.026770	0.127951	-0.068510	-0.989049	0.940336	-0.182813	0.273340	0.087367	
77	0.155540	0.038304	-0.109600	-0.980983	0.026791	0.127440	-0.068401	-0.989122	0.940345	-0.182630	0.273456	0.087286	
78	0.155202	0.037668	-0.109813	-0.981037	0.026835	0.126926	-0.068293	-0.989194	0.940360	-0.182432	0.273565	0.087204	
79	0.154745	0.036938	-0.110135	-0.981101	0.026899	0.126413	-0.068198	-0.989265	0.940379	-0.182231	0.273658	0.087126	
80	0.154228	0.036162	-0.110524	-0.981168	0.026979	0.125909	-0.068110	-0.989333	0.940402	-0.182024	0.273740	0.087051	
81	0.153679	0.035366	-0.110957	-0.981234	0.027072	0.125417	-0.068030	-0.989399	0.940429	-0.181818	0.273809	0.086977	
82	0.153093	0.034556	-0.111435	-0.981301	0.027173	0.124942	-0.067965	-0.989460	0.940457	-0.181621	0.273862	0.086909	
83	0.152566	0.033802	-0.111891	-0.981357	0.027279	0.124489	-0.067903	-0.989519	0.940487	-0.181429	0.273908	0.086841	
84	0.152075	0.033094	-0.112339	-0.981406	0.027385	0.124060	-0.067855	-0.989573	0.940517	-0.181256	0.273941	0.086778	
85	0.151690	0.032483	-0.112730	-0.981441	0.027490	0.123659	-0.067812	-0.989623	0.940545	-0.181098	0.273969	0.086716	
86	0.151445	0.031996	-0.113042	-0.981459	0.027592	0.123290	-0.067775	-0.989669	0.940571	-0.180958	0.273992	0.086654	
87	0.151328	0.031630	-0.113282	-0.981462	0.027690	0.122952	-0.067747	-0.989710	0.940594	-0.180841	0.274008	0.086595	
88	0.151418	0.031438	-0.113397	-0.981440	0.027783	0.122650	-0.067719	-0.989747	0.940615	-0.180737	0.274026	0.086533	
89	0.151665	0.031391	-0.113423	-0.981401	0.027873	0.122384	-0.067699	-0.989779	0.940633	-0.180653	0.274037	0.086473	
90	0.152107	0.031516	-0.113333	-0.981339	0.027962	0.122154	-0.067682	-0.989806	0.940650	-0.180580	0.274047	0.086411	
91	0.152734	0.031808	-0.113134	-0.981255	0.028052	0.121962	-0.067666	-0.989828	0.940666	-0.180514	0.274055	0.086348	
92	0.153491	0.032230	-0.112863	-0.981154	0.028143	0.121805	-0.067659	-0.989845	0.940683	-0.180455	0.274054	0.086286	
93	0.154412	0.032801	-0.112493	-0.981033	0.028241	0.121684	-0.067650	-0.989858	0.940703	-0.180390	0.274049	0.086221	
94	0.155401	0.033455	-0.112086	-0.980902	0.028344	0.121594	-0.067651	-0.989866	0.940727	-0.180322	0.274032	0.086160	
95	0.156454	0.034183	-0.111637	-0.980760	0.028457	0.121535	-0.067657	-0.989870	0.940756	-0.180244	0.274003	0.086099	
96	0.157529	0.034947	-0.111167	-0.980615	0.028578	0.121502	-0.067667	-0.989869	0.940791	-0.180152	0.273961	0.086041	
97	0.158542	0.035682	-0.110722	-0.980475	0.028706	0.121491	-0.067689	-0.989866	0.940833	-0.180050	0.273899	0.085988	
98	0.159513	0.036385	-0.110279	-0.980342	0.028843	0.121500	-0.067715	-0.989859	0.940883	-0.179931	0.273824	0.085936	
99	0.160339	0.036976	-0.109894	-0.980228	0.028984	0.121521	-0.067752	-0.989850	0.940939	-0.179803	0.273728	0.085892	
100	0.161027	0.037441	-0.109554	-0.980136	0.029127	0.121552	-0.067797	-0.989839	0.941001	-0.179666	0.273617	0.085852	
101	0.161549	0.037747	-0.109267	-0.980070	0.029268	0.121589	-0.067847	-0.989826	0.941069	-0.179521	0.273491	0.085816	
