Mhairi	// User ID
25-6-2024	// Evaluation date
P22_ADL	24-6-2024	12:18:49:958	// Source file name and timestamp
100.000	// Sampling rate
312.057	// Data capture period



Sample #	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	
0	0.957023	-0.289625	-0.001797	0.014855	0.001847	-0.361977	0.043585	0.931166	0.087781	0.071913	-0.128780	-0.985159	
1	0.957050	-0.289542	-0.001527	0.014752	0.001957	-0.361556	0.043622	0.931327	0.087726	0.071600	-0.128773	-0.985188	
2	0.957078	-0.289457	-0.001263	0.014651	0.002069	-0.361127	0.043661	0.931492	0.087668	0.071273	-0.128768	-0.985217	
3	0.957106	-0.289372	-0.001006	0.014552	0.002180	-0.360691	0.043700	0.931658	0.087612	0.070945	-0.128761	-0.985247	
4	0.957132	-0.289291	-0.000754	0.014455	0.002287	-0.360249	0.043739	0.931828	0.087575	0.070639	-0.128748	-0.985274	
5	0.957156	-0.289216	-0.000506	0.014360	0.002392	-0.359807	0.043777	0.931996	0.087544	0.070342	-0.128729	-0.985300	
6	0.957178	-0.289148	-0.000263	0.014266	0.002501	-0.359376	0.043814	0.932160	0.087506	0.070033	-0.128711	-0.985328	
7	0.957197	-0.289090	-0.000026	0.014171	0.002608	-0.358955	0.043851	0.932321	0.087471	0.069730	-0.128690	-0.985356	
8	0.957213	-0.289041	0.000206	0.014075	0.002711	-0.358545	0.043885	0.932476	0.087451	0.069454	-0.128664	-0.985380	
9	0.957226	-0.289003	0.000432	0.013976	0.002813	-0.358152	0.043919	0.932626	0.087432	0.069187	-0.128639	-0.985404	
10	0.957236	-0.288976	0.000648	0.013875	0.002917	-0.357781	0.043951	0.932766	0.087404	0.068913	-0.128618	-0.985428	
11	0.957243	-0.288957	0.000855	0.013770	0.003017	-0.357427	0.043983	0.932900	0.087379	0.068655	-0.128600	-0.985451	
12	0.957247	-0.288946	0.001050	0.013662	0.003111	-0.357089	0.044013	0.933028	0.087367	0.068429	-0.128583	-0.985470	
13	0.957250	-0.288941	0.001232	0.013550	0.003203	-0.356767	0.044044	0.933149	0.087353	0.068213	-0.128573	-0.985487	
14	0.957252	-0.288939	0.001399	0.013435	0.003294	-0.356463	0.044073	0.933264	0.087328	0.067996	-0.128573	-0.985505	
15	0.957254	-0.288939	0.001550	0.013319	0.003380	-0.356167	0.044103	0.933375	0.087307	0.067801	-0.128579	-0.985519	
16	0.957256	-0.288937	0.001685	0.013200	0.003458	-0.355875	0.044131	0.933485	0.087297	0.067639	-0.128587	-0.985530	
17	0.957259	-0.288930	0.001804	0.013082	0.003534	-0.355587	0.044159	0.933593	0.087280	0.067483	-0.128604	-0.985540	
18	0.957264	-0.288917	0.001908	0.012965	0.003609	-0.355302	0.044185	0.933700	0.087253	0.067325	-0.128629	-0.985550	
19	0.957273	-0.288894	0.001999	0.012849	0.003679	-0.355012	0.044210	0.933809	0.087231	0.067189	-0.128655	-0.985558	
20	0.957284	-0.288860	0.002077	0.012737	0.003745	-0.354713	0.044233	0.933921	0.087216	0.067076	-0.128681	-0.985563	
21	0.957300	-0.288812	0.002146	0.012629	0.003811	-0.354408	0.044253	0.934035	0.087192	0.066955	-0.128710	-0.985570	
22	0.957320	-0.288749	0.002208	0.012524	0.003880	-0.354098	0.044271	0.934152	0.087158	0.066824	-0.128740	-0.985578	
23	0.957345	-0.288671	0.002267	0.012423	0.003948	-0.353777	0.044286	0.934272	0.087130	0.066705	-0.128765	-0.985585	
24	0.957375	-0.288576	0.002324	0.012326	0.004017	-0.353448	0.044297	0.934396	0.087107	0.066591	-0.128784	-0.985593	
25	0.957410	-0.288464	0.002382	0.012232	0.004093	-0.353117	0.044305	0.934521	0.087072	0.066455	-0.128800	-0.985603	
26	0.957449	-0.288337	0.002443	0.012139	0.004176	-0.352785	0.044310	0.934645	0.087030	0.066300	-0.128812	-0.985615	
27	0.957493	-0.288194	0.002509	0.012046	0.004263	-0.352451	0.044311	0.934771	0.086995	0.066151	-0.128814	-0.985628	
28	0.957541	-0.288038	0.002578	0.011951	0.004355	-0.352120	0.044310	0.934895	0.086962	0.066000	-0.128809	-0.985642	
29	0.957593	-0.287870	0.002652	0.011854	0.004457	-0.351799	0.044306	0.935016	0.086916	0.065825	-0.128801	-0.985659	
30	0.957647	-0.287692	0.002730	0.011752	0.004567	-0.351489	0.044300	0.935132	0.086863	0.065642	-0.128788	-0.985677	
31	0.957704	-0.287507	0.002808	0.011645	0.004680	-0.351189	0.044292	0.935245	0.086818	0.065480	-0.128767	-0.985695	
32	0.957762	-0.287317	0.002886	0.011532	0.004798	-0.350903	0.044283	0.935352	0.086772	0.065333	-0.128742	-0.985712	
33	0.957820	-0.287126	0.002960	0.011412	0.004923	-0.350639	0.044274	0.935451	0.086709	0.065187	-0.128717	-0.985730	
34	0.957879	-0.286935	0.003028	0.011285	0.005051	-0.350393	0.044264	0.935543	0.086641	0.065069	-0.128691	-0.985747	
35	0.957936	-0.286748	0.003086	0.011153	0.005176	-0.350164	0.044253	0.935628	0.086581	0.065008	-0.128661	-0.985761	
36	0.957992	-0.286567	0.003133	0.011015	0.005301	-0.349956	0.044243	0.935706	0.086515	0.064994	-0.128631	-0.985771	
37	0.958045	-0.286395	0.003166	0.010874	0.005427	-0.349773	0.044234	0.935774	0.086432	0.065019	-0.128606	-0.985780	
38	0.958094	-0.286234	0.003184	0.010731	0.005549	-0.349612	0.044227	0.935834	0.086348	0.065110	-0.128582	-0.985785	
39	0.958141	-0.286084	0.003186	0.010589	0.005664	-0.349472	0.044220	0.935885	0.086272	0.065288	-0.128556	-0.985783	
40	0.958183	-0.285948	0.003173	0.010448	0.005774	-0.349358	0.044216	0.935928	0.086191	0.065531	-0.128533	-0.985777	
41	0.958221	-0.285825	0.003146	0.010312	0.005881	-0.349273	0.044214	0.935959	0.086098	0.065827	-0.128517	-0.985767	
42	0.958255	-0.285716	0.003106	0.010181	0.005982	-0.349215	0.044216	0.935980	0.086011	0.066196	-0.128502	-0.985752	
43	0.958285	-0.285620	0.003058	0.010058	0.006074	-0.349183	0.044222	0.935991	0.085938	0.066641	-0.128487	-0.985731	
44	0.958311	-0.285537	0.003002	0.009942	0.006163	-0.349183	0.044233	0.935990	0.085863	0.067129	-0.128478	-0.985705	
45	0.958334	-0.285466	0.002944	0.009836	0.006249	-0.349218	0.044250	0.935975	0.085785	0.067643	-0.128475	-0.985677	
46	0.958353	-0.285405	0.002886	0.009738	0.006329	-0.349284	0.044274	0.935949	0.085721	0.068195	-0.128475	-0.985645	
47	0.958370	-0.285352	0.002831	0.009648	0.006402	-0.349379	0.044305	0.935911	0.085674	0.068777	-0.128477	-0.985608	
48	0.958384	-0.285307	0.002782	0.009565	0.006473	-0.349508	0.044345	0.935861	0.085627	0.069350	-0.128488	-0.985571	
49	0.958397	-0.285268	0.002742	0.009488	0.006542	-0.349669	0.044393	0.935798	0.085579	0.069901	-0.128509	-0.985533	
50	0.958408	-0.285233	0.002711	0.009416	0.006605	-0.349853	0.044450	0.935726	0.085547	0.070447	-0.128535	-0.985494	
51	0.958418	-0.285203	0.002691	0.009347	0.006660	-0.350057	0.044516	0.935646	0.085525	0.070976	-0.128569	-0.985453	
