Mhairi	// User ID
21-5-2024	// Evaluation date
P5_JA_Slow	20-5-2024	13:23:52:722	// Source file name and timestamp
100.000	// Sampling rate
125.435	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.137296	-0.098599	-0.159900	-0.972553	0.084135	0.202468	-0.069511	-0.973189	0.890729	-0.253103	0.348712	0.144706	
1	0.137359	-0.098220	-0.159819	-0.972596	0.084189	0.202906	-0.069441	-0.973098	0.890416	-0.253891	0.348864	0.144887	
2	0.137418	-0.097812	-0.159740	-0.972642	0.084246	0.203354	-0.069356	-0.973005	0.890139	-0.254548	0.349039	0.145018	
3	0.137463	-0.097391	-0.159663	-0.972690	0.084305	0.203804	-0.069259	-0.972913	0.889921	-0.255036	0.349208	0.145090	
4	0.137486	-0.096969	-0.159588	-0.972742	0.084363	0.204251	-0.069151	-0.972822	0.889785	-0.255325	0.349341	0.145095	
5	0.137493	-0.096548	-0.159502	-0.972797	0.084420	0.204700	-0.069025	-0.972732	0.889742	-0.255395	0.349423	0.145039	
6	0.137466	-0.096148	-0.159413	-0.972855	0.084470	0.205141	-0.068891	-0.972644	0.889809	-0.255235	0.349419	0.144918	
7	0.137416	-0.095766	-0.159309	-0.972916	0.084513	0.205582	-0.068741	-0.972558	0.889987	-0.254850	0.349319	0.144744	
8	0.137336	-0.095408	-0.159193	-0.972982	0.084547	0.206019	-0.068580	-0.972474	0.890276	-0.254255	0.349108	0.144523	
9	0.137224	-0.095077	-0.159068	-0.973051	0.084571	0.206450	-0.068413	-0.972392	0.890669	-0.253477	0.348778	0.144266	
10	0.137091	-0.094763	-0.158924	-0.973123	0.084584	0.206884	-0.068234	-0.972311	0.891147	-0.252553	0.348340	0.143993	
11	0.136928	-0.094471	-0.158777	-0.973199	0.084586	0.207312	-0.068056	-0.972232	0.891696	-0.251528	0.347793	0.143710	
12	0.136751	-0.094186	-0.158619	-0.973277	0.084577	0.207742	-0.067871	-0.972154	0.892286	-0.250452	0.347166	0.143440	
13	0.136561	-0.093903	-0.158457	-0.973358	0.084559	0.208172	-0.067687	-0.972077	0.892895	-0.249376	0.346476	0.143195	
14	0.136359	-0.093616	-0.158297	-0.973439	0.084533	0.208597	-0.067506	-0.972000	0.893496	-0.248351	0.345750	0.142984	
15	0.136164	-0.093310	-0.158135	-0.973523	0.084502	0.209023	-0.067322	-0.971924	0.894058	-0.247423	0.345026	0.142825	
16	0.135967	-0.092989	-0.157983	-0.973605	0.084465	0.209439	-0.067147	-0.971850	0.894565	-0.246631	0.344322	0.142717	
17	0.135785	-0.092641	-0.157835	-0.973688	0.084428	0.209849	-0.066971	-0.971777	0.894994	-0.246003	0.343677	0.142671	
18	0.135619	-0.092268	-0.157696	-0.973769	0.084391	0.210247	-0.066798	-0.971706	0.895332	-0.245556	0.343108	0.142685	
19	0.135467	-0.091873	-0.157568	-0.973848	0.084355	0.210624	-0.066630	-0.971639	0.895576	-0.245295	0.342631	0.142754	
20	0.135344	-0.091453	-0.157442	-0.973925	0.084324	0.210986	-0.066458	-0.971575	0.895719	-0.245211	0.342265	0.142880	
21	0.135237	-0.091025	-0.157328	-0.973999	0.084296	0.211317	-0.066291	-0.971517	0.895774	-0.245283	0.341999	0.143046	
22	0.135158	-0.090588	-0.157212	-0.974069	0.084273	0.211624	-0.066118	-0.971464	0.895748	-0.245482	0.341839	0.143249	
23	0.135099	-0.090155	-0.157096	-0.974136	0.084254	0.211899	-0.065943	-0.971417	0.895661	-0.245768	0.341766	0.143475	
24	0.135058	-0.089738	-0.156980	-0.974199	0.084239	0.212139	-0.065766	-0.971378	0.895536	-0.246098	0.341758	0.143709	
25	0.135041	-0.089337	-0.156850	-0.974259	0.084228	0.212351	-0.065577	-0.971346	0.895392	-0.246426	0.341800	0.143945	
26	0.135032	-0.088970	-0.156716	-0.974316	0.084218	0.212526	-0.065386	-0.971321	0.895260	-0.246708	0.341851	0.144163	
27	0.135040	-0.088633	-0.156565	-0.974369	0.084210	0.212675	-0.065183	-0.971303	0.895157	-0.246904	0.341896	0.144361	
28	0.135059	-0.088333	-0.156400	-0.974421	0.084203	0.212796	-0.064971	-0.971291	0.895107	-0.246980	0.341902	0.144527	
29	0.135082	-0.088071	-0.156224	-0.974469	0.084195	0.212892	-0.064751	-0.971286	0.895127	-0.246913	0.341845	0.144652	
30	0.135119	-0.087837	-0.156027	-0.974517	0.084187	0.212974	-0.064517	-0.971284	0.895223	-0.246690	0.341715	0.144743	
31	0.135155	-0.087635	-0.155822	-0.974563	0.084176	0.213038	-0.064276	-0.971287	0.895406	-0.246309	0.341491	0.144790	
32	0.135201	-0.087450	-0.155602	-0.974608	0.084166	0.213096	-0.064022	-0.971292	0.895668	-0.245780	0.341179	0.144805	
33	0.135255	-0.087277	-0.155371	-0.974653	0.084155	0.213149	-0.063757	-0.971298	0.896002	-0.245123	0.340778	0.144791	
34	0.135312	-0.087109	-0.155137	-0.974698	0.084143	0.213199	-0.063483	-0.971306	0.896397	-0.244366	0.340299	0.144755	
35	0.135385	-0.086931	-0.154891	-0.974742	0.084134	0.213256	-0.063194	-0.971314	0.896829	-0.243546	0.339767	0.144715	
36	0.135462	-0.086747	-0.154646	-0.974787	0.084126	0.213311	-0.062899	-0.971321	0.897281	-0.242702	0.339195	0.144672	
37	0.135556	-0.086543	-0.154394	-0.974832	0.084121	0.213374	-0.062590	-0.971328	0.897726	-0.241876	0.338619	0.144645	
38	0.135662	-0.086320	-0.154138	-0.974877	0.084120	0.213441	-0.062270	-0.971334	0.898142	-0.241107	0.338063	0.144642	
39	0.135779	-0.086083	-0.153881	-0.974923	0.084122	0.213509	-0.061943	-0.971340	0.898511	-0.240432	0.337553	0.144668	
40	0.135917	-0.085827	-0.153612	-0.974969	0.084129	0.213583	-0.061600	-0.971344	0.898809	-0.239879	0.337121	0.144738	
41	0.136061	-0.085568	-0.153340	-0.975014	0.084138	0.213651	-0.061253	-0.971351	0.899030	-0.239469	0.336777	0.144845	
42	0.136222	-0.085305	-0.153053	-0.975060	0.084149	0.213719	-0.060894	-0.971357	0.899160	-0.239211	0.336546	0.145000	
43	0.136393	-0.085053	-0.152752	-0.975105	0.084161	0.213782	-0.060527	-0.971365	0.899200	-0.239106	0.336432	0.145196	
44	0.136567	-0.084824	-0.152436	-0.975150	0.084170	0.213835	-0.060157	-0.971376	0.899153	-0.239143	0.336431	0.145427	
45	0.136751	-0.084618	-0.152095	-0.975195	0.084177	0.213884	-0.059775	-0.971388	0.899024	-0.239302	0.336548	0.145693	
46	0.136928	-0.084456	-0.151738	-0.975240	0.084176	0.213919	-0.059395	-0.971404	0.898833	-0.239555	0.336756	0.145975	
47	0.137105	-0.084334	-0.151356	-0.975285	0.084168	0.213948	-0.059009	-0.971422	0.898591	-0.239869	0.337049	0.146270	
48	0.137273	-0.084260	-0.150954	-0.975330	0.084149	0.213969	-0.058622	-0.971442	0.898322	-0.240207	0.337398	0.146563	
49	0.137424	-0.084238	-0.150535	-0.975376	0.084116	0.213979	-0.058240	-0.971466	0.898047	-0.240532	0.337778	0.146841	
50	0.137565	-0.084259	-0.150096	-0.975422	0.084071	0.213987	-0.057857	-0.971491	0.897782	-0.240810	0.338171	0.147099	
51	0.137678	-0.084327	-0.149651	-0.975468	0.084010	0.213985	-0.057484	-0.971519	0.897553	-0.241009	0.338542	0.147319	
52	0.137773	-0.084429	-0.149198	-0.975515	0.083934	0.213982	-0.057115	-0.971547	0.897369	-0.241107	0.338881	0.147500	
53	0.137843	-0.084558	-0.148746	-0.975563	0.083843	0.213975	-0.056756	-0.971578	0.897245	-0.241086	0.339166	0.147634	
54	0.137881	-0.084709	-0.148304	-0.975612	0.083738	0.213962	-0.056410	-0.971610	0.897188	-0.240940	0.339383	0.147717	
55	0.137900	-0.084865	-0.147871	-0.975662	0.083622	0.213948	-0.056073	-0.971643	0.897196	-0.240671	0.339535	0.147756	
56	0.137885	-0.085026	-0.147464	-0.975711	0.083495	0.213921	-0.055755	-0.971678	0.897271	-0.240290	0.339611	0.147746	
57	0.137849	-0.085177	-0.147079	-0.975761	0.083361	0.213888	-0.055449	-0.971714	0.897400	-0.239816	0.339627	0.147700	
58	0.137788	-0.085316	-0.146724	-0.975811	0.083222	0.213841	-0.055161	-0.971753	0.897572	-0.239274	0.339588	0.147624	
59	0.137703	-0.085442	-0.146406	-0.975860	0.083080	0.213774	-0.054895	-0.971795	0.897774	-0.238692	0.339507	0.147524	
60	0.137607	-0.085547	-0.146118	-0.975908	0.082940	0.213690	-0.054645	-0.971839	0.897985	-0.238104	0.339408	0.147418	
61	0.137489	-0.085642	-0.145872	-0.975953	0.082803	0.213576	-0.054422	-0.971889	0.898194	-0.237540	0.339298	0.147306	
62	0.137364	-0.085722	-0.145660	-0.975995	0.082673	0.213435	-0.054218	-0.971942	0.898381	-0.237030	0.339203	0.147205	
63	0.137234	-0.085795	-0.145484	-0.976033	0.082551	0.213263	-0.054040	-0.972000	0.898535	-0.236598	0.339134	0.147119	
64	0.137097	-0.085868	-0.145345	-0.976067	0.082440	0.213056	-0.053891	-0.972063	0.898647	-0.236264	0.339100	0.147052	
65	0.136969	-0.085940	-0.145234	-0.976095	0.082342	0.212821	-0.053764	-0.972130	0.898705	-0.236039	0.339119	0.147015	
66	0.136840	-0.086025	-0.145160	-0.976116	0.082257	0.212550	-0.053671	-0.972201	0.898713	-0.235927	0.339182	0.146999	
67	0.136727	-0.086118	-0.145112	-0.976131	0.082187	0.212257	-0.053604	-0.972275	0.898669	-0.235924	0.339296	0.147010	
68	0.136626	-0.086225	-0.145093	-0.976139	0.082134	0.211942	-0.053567	-0.972350	0.898579	-0.236018	0.339454	0.147043	
69	0.136539	-0.086348	-0.145104	-0.976138	0.082097	0.211609	-0.053563	-0.972426	0.898455	-0.236192	0.339641	0.147091	
70	0.136478	-0.086478	-0.145137	-0.976130	0.082078	0.211274	-0.053584	-0.972500	0.898304	-0.236423	0.339854	0.147153	
71	0.136431	-0.086622	-0.145204	-0.976114	0.082075	0.210935	-0.053639	-0.972570	0.898144	-0.236685	0.340068	0.147213	
72	0.136412	-0.086765	-0.145295	-0.976091	0.082091	0.210609	-0.053718	-0.972635	0.897984	-0.236953	0.340277	0.147273	
73	0.136415	-0.086906	-0.145415	-0.976060	0.082125	0.210300	-0.053824	-0.972693	0.897840	-0.237201	0.340462	0.147321	
74	0.136436	-0.087042	-0.145568	-0.976022	0.082175	0.210013	-0.053957	-0.972744	0.897725	-0.237408	0.340609	0.147350	
75	0.136486	-0.087158	-0.145745	-0.975978	0.082243	0.209763	-0.054108	-0.972784	0.897643	-0.237557	0.340716	0.147362	
76	0.136548	-0.087260	-0.145959	-0.975928	0.082326	0.209542	-0.054284	-0.972814	0.897606	-0.237635	0.340767	0.147346	
77	0.136631	-0.087337	-0.146197	-0.975874	0.082425	0.209363	-0.054473	-0.972834	0.897610	-0.237640	0.340769	0.147308	
78	0.136729	-0.087389	-0.146464	-0.975816	0.082537	0.209221	-0.054678	-0.972844	0.897657	-0.237573	0.340720	0.147245	
79	0.136832	-0.087420	-0.146759	-0.975754	0.082661	0.209113	-0.054898	-0.972844	0.897742	-0.237443	0.340624	0.147160	
80	0.136950	-0.087423	-0.147071	-0.975690	0.082795	0.209043	-0.055123	-0.972835	0.897852	-0.237267	0.340499	0.147062	
81	0.137065	-0.087414	-0.147408	-0.975624	0.082935	0.208996	-0.055362	-0.972820	0.897981	-0.237064	0.340348	0.146949	
82	0.137184	-0.087389	-0.147754	-0.975557	0.083080	0.208974	-0.055603	-0.972798	0.898112	-0.236859	0.340194	0.146835	
83	0.137301	-0.087358	-0.148110	-0.975490	0.083228	0.208966	-0.055849	-0.972773	0.898233	-0.236677	0.340049	0.146722	
84	0.137409	-0.087330	-0.148474	-0.975422	0.083375	0.208963	-0.056100	-0.972747	0.898333	-0.236543	0.339924	0.146616	
85	0.137517	-0.087303	-0.148830	-0.975355	0.083520	0.208965	-0.056349	-0.972719	0.898394	-0.236481	0.339844	0.146527	
86	0.137611	-0.087293	-0.149185	-0.975288	0.083658	0.208956	-0.056602	-0.972695	0.898413	-0.236510	0.339807	0.146451	
87	0.137702	-0.087295	-0.149527	-0.975223	0.083790	0.208938	-0.056852	-0.972673	0.898377	-0.236644	0.339831	0.146400	
88	0.137785	-0.087316	-0.149853	-0.975159	0.083914	0.208904	-0.057100	-0.972655	0.898284	-0.236892	0.339917	0.146370	
89	0.137858	-0.087357	-0.150166	-0.975097	0.084027	0.208849	-0.057349	-0.972642	0.898135	-0.237255	0.340063	0.146360	
90	0.137933	-0.087411	-0.150453	-0.975037	0.084131	0.208779	-0.057587	-0.972634	0.897927	-0.237728	0.340274	0.146374	
91	0.137998	-0.087485	-0.150724	-0.974980	0.084225	0.208686	-0.057826	-0.972632	0.897673	-0.238300	0.340532	0.146402	
92	0.138066	-0.087565	-0.150969	-0.974925	0.084310	0.208579	-0.058054	-0.972634	0.897377	-0.238952	0.340838	0.146445	
93	0.138133	-0.087651	-0.151192	-0.974873	0.084386	0.208459	-0.058275	-0.972640	0.897051	-0.239664	0.341175	0.146497	
94	0.138197	-0.087739	-0.151397	-0.974824	0.084455	0.208327	-0.058488	-0.972649	0.896709	-0.240409	0.341526	0.146548	
95	0.138270	-0.087818	-0.151575	-0.974779	0.084520	0.208196	-0.058685	-0.972660	0.896361	-0.241162	0.341886	0.146601	
96	0.138338	-0.087891	-0.151741	-0.974737	0.084579	0.208062	-0.058876	-0.972672	0.896027	-0.241893	0.342229	0.146640	
97	0.138412	-0.087948	-0.151886	-0.974699	0.084636	0.207939	-0.059050	-0.972682	0.895713	-0.242580	0.342552	0.146668	
98	0.138486	-0.087989	-0.152016	-0.974664	0.084692	0.207828	-0.059212	-0.972692	0.895434	-0.243198	0.342839	0.146677	
99	0.138556	-0.088017	-0.152138	-0.974633	0.084746	0.207730	-0.059364	-0.972698	0.895200	-0.243728	0.343079	0.146662	
100	0.138629	-0.088024	-0.152244	-0.974605	0.084801	0.207657	-0.059499	-0.972701	0.895015	-0.244159	0.343272	0.146625	
101	0.138691	-0.088021	-0.152349	-0.974580	0.084854	0.207601	-0.059629	-0.972700	0.894888	-0.244480	0.343404	0.146558	
102	0.138750	-0.088001	-0.152446	-0.974559	0.084907	0.207573	-0.059746	-0.972695	0.894815	-0.244690	0.343482	0.146466	
103	0.138800	-0.087972	-0.152542	-0.974539	0.084958	0.207568	-0.059858	-0.972684	0.894799	-0.244790	0.343503	0.146349	
104	0.138837	-0.087937	-0.152643	-0.974521	0.085004	0.207585	-0.059968	-0.972670	0.894837	-0.244789	0.343467	0.146204	
105	0.138868	-0.087891	-0.152741	-0.974505	0.085046	0.207628	-0.060072	-0.972650	0.894918	-0.244700	0.343388	0.146042	
106	0.138882	-0.087846	-0.152852	-0.974490	0.085079	0.207687	-0.060183	-0.972628	0.895042	-0.244537	0.343260	0.145856	
107	0.138889	-0.087793	-0.152968	-0.974476	0.085103	0.207766	-0.060293	-0.972602	0.895196	-0.244318	0.343099	0.145658	
108	0.138885	-0.087736	-0.153093	-0.974462	0.085116	0.207858	-0.060410	-0.972574	0.895372	-0.244064	0.342909	0.145447	
109	0.138868	-0.087676	-0.153232	-0.974448	0.085114	0.207959	-0.060536	-0.972545	0.895564	-0.243793	0.342693	0.145227	
110	0.138851	-0.087604	-0.153376	-0.974434	0.085099	0.208071	-0.060664	-0.972514	0.895759	-0.243524	0.342469	0.145006	
111	0.138822	-0.087528	-0.153534	-0.974420	0.085067	0.208182	-0.060805	-0.972485	0.895954	-0.243276	0.342230	0.144780	
112	0.138794	-0.087439	-0.153693	-0.974407	0.085019	0.208298	-0.060948	-0.972455	0.896138	-0.243062	0.341994	0.144560	
113	0.138762	-0.087340	-0.153856	-0.974395	0.084955	0.208410	-0.061097	-0.972427	0.896307	-0.242895	0.341760	0.144344	
114	0.138724	-0.087233	-0.154019	-0.974384	0.084874	0.208514	-0.061251	-0.972402	0.896459	-0.242784	0.341531	0.144133	
115	0.138690	-0.087112	-0.154169	-0.974376	0.084780	0.208617	-0.061400	-0.972379	0.896585	-0.242733	0.341319	0.143934	
116	0.138645	-0.086991	-0.154311	-0.974371	0.084671	0.208706	-0.061551	-0.972360	0.896690	-0.242745	0.341116	0.143739	
117	0.138598	-0.086864	-0.154430	-0.974370	0.084550	0.208789	-0.061692	-0.972344	0.896769	-0.242819	0.340935	0.143557	
118	0.138540	-0.086740	-0.154523	-0.974374	0.084420	0.208862	-0.061826	-0.972331	0.896824	-0.242949	0.340771	0.143381	
119	0.138465	-0.086627	-0.154589	-0.974385	0.084280	0.208924	-0.061952	-0.972322	0.896859	-0.243129	0.340623	0.143210	
120	0.138378	-0.086522	-0.154617	-0.974402	0.084136	0.208983	-0.062061	-0.972315	0.896871	-0.243350	0.340500	0.143046	
121	0.138260	-0.086441	-0.154615	-0.974426	0.083985	0.209032	-0.062163	-0.972311	0.896872	-0.243602	0.340388	0.142879	
122	0.138121	-0.086376	-0.154576	-0.974458	0.083833	0.209081	-0.062250	-0.972307	0.896860	-0.243874	0.340295	0.142712	
123	0.137951	-0.086332	-0.154508	-0.974497	0.083679	0.209133	-0.062328	-0.972305	0.896843	-0.244154	0.340213	0.142539	
124	0.137745	-0.086310	-0.154418	-0.974542	0.083525	0.209188	-0.062402	-0.972301	0.896826	-0.244431	0.340135	0.142354	
125	0.137514	-0.086296	-0.154306	-0.974593	0.083373	0.209261	-0.062466	-0.972295	0.896812	-0.244695	0.340063	0.142159	
126	0.137245	-0.086293	-0.154196	-0.974649	0.083221	0.209347	-0.062536	-0.972285	0.896812	-0.244938	0.339979	0.141942	
127	0.136956	-0.086281	-0.154089	-0.974708	0.083073	0.209461	-0.062606	-0.972268	0.896826	-0.245152	0.339886	0.141708	
128	0.136646	-0.086250	-0.154004	-0.974768	0.082927	0.209607	-0.062686	-0.972244	0.896860	-0.245332	0.339772	0.141452	
129	0.136320	-0.086188	-0.153955	-0.974826	0.082783	0.209789	-0.062782	-0.972211	0.896921	-0.245474	0.339627	0.141170	
130	0.135999	-0.086074	-0.153947	-0.974882	0.082642	0.210020	-0.062890	-0.972166	0.897005	-0.245578	0.339454	0.140868	
131	0.135680	-0.085902	-0.154003	-0.974933	0.082503	0.210295	-0.063024	-0.972110	0.897123	-0.245644	0.339233	0.140539	
