Mhairi	// User ID
20-6-2024	// Evaluation date
P19_JA_Fast	14-6-2024	16:20:52:379	// Source file name and timestamp
100.000	// Sampling rate
71.618	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.153781	0.221885	-0.055573	-0.961265	0.065770	-0.242978	0.032705	0.967247	0.921130	-0.205176	0.317111	0.094141	
1	0.154053	0.221959	-0.055189	-0.961226	0.065655	-0.243429	0.032767	0.967139	0.921060	-0.205279	0.317225	0.094219	
2	0.154319	0.222035	-0.054722	-0.961193	0.065604	-0.243792	0.032779	0.967051	0.921012	-0.205271	0.317363	0.094246	
3	0.154569	0.222165	-0.054228	-0.961151	0.065622	-0.244028	0.032747	0.966991	0.920993	-0.205140	0.317513	0.094204	
4	0.154797	0.222342	-0.053705	-0.961102	0.065711	-0.244122	0.032665	0.966964	0.921006	-0.204895	0.317666	0.094098	
5	0.154998	0.222569	-0.053167	-0.961047	0.065870	-0.244066	0.032535	0.966972	0.921050	-0.204549	0.317812	0.093929	
6	0.155168	0.222876	-0.052664	-0.960976	0.066089	-0.243855	0.032369	0.967016	0.921128	-0.204111	0.317936	0.093692	
7	0.155309	0.223224	-0.052171	-0.960900	0.066360	-0.243510	0.032168	0.967091	0.921233	-0.203618	0.318033	0.093409	
8	0.155422	0.223643	-0.051741	-0.960807	0.066665	-0.243047	0.031949	0.967194	0.921364	-0.203083	0.318091	0.093076	
9	0.155511	0.224103	-0.051368	-0.960706	0.066990	-0.242498	0.031720	0.967316	0.921515	-0.202538	0.318107	0.092714	
10	0.155584	0.224587	-0.051052	-0.960598	0.067318	-0.241900	0.031492	0.967451	0.921679	-0.202010	0.318078	0.092339	
11	0.155645	0.225107	-0.050827	-0.960478	0.067630	-0.241286	0.031283	0.967589	0.921851	-0.201515	0.318004	0.091956	
12	0.155706	0.225606	-0.050649	-0.960361	0.067914	-0.240701	0.031093	0.967721	0.922020	-0.201083	0.317893	0.091594	
13	0.155771	0.226104	-0.050550	-0.960238	0.068156	-0.240172	0.030939	0.967840	0.922184	-0.200715	0.317746	0.091253	
14	0.155850	0.226566	-0.050502	-0.960119	0.068349	-0.239733	0.030822	0.967939	0.922335	-0.200424	0.317578	0.090952	
15	0.155949	0.226974	-0.050485	-0.960007	0.068490	-0.239404	0.030743	0.968013	0.922467	-0.200213	0.317399	0.090702	
16	0.156070	0.227343	-0.050515	-0.959899	0.068576	-0.239190	0.030707	0.968061	0.922581	-0.200067	0.317218	0.090499	
17	0.156217	0.227628	-0.050534	-0.959806	0.068616	-0.239102	0.030701	0.968080	0.922669	-0.199987	0.317052	0.090360	
18	0.156388	0.227861	-0.050567	-0.959721	0.068615	-0.239122	0.030727	0.968075	0.922736	-0.199947	0.316908	0.090270	
19	0.156582	0.228024	-0.050581	-0.959650	0.068584	-0.239238	0.030773	0.968047	0.922780	-0.199935	0.316797	0.090234	
20	0.156793	0.228116	-0.050561	-0.959595	0.068538	-0.239425	0.030827	0.968002	0.922804	-0.199933	0.316727	0.090245	
21	0.157013	0.228171	-0.050530	-0.959548	0.068487	-0.239647	0.030885	0.967949	0.922814	-0.199914	0.316698	0.090285	
