

Sample #	C7_X	C7_Y	C7_Z	T8_X	T8_Y	T8_Z	EL_X	EL_Y	EL_Z	EM_X	EM_Y	EM_Z	US_X	US_Y	US_Z	RS_X	RS_Y	RS_Z	AA_X	AA_Y	AA_Z	Fore_Clus_1_X	Fore_Clus_1_Y	Fore_Clus_1_Z	Fore_Clus_2_X	Fore_Clus_2_Y	Fore_Clus_2_Z	Fore_Clus_3_X	Fore_Clus_3_Y	Fore_Clus_3_Z	Fore_Clus_4_X	Fore_Clus_4_Y	Fore_Clus_4_Z	Hum_Clus_1_X	Hum_Clus_1_Y	Hum_Clus_1_Z	Hum_Clus_2_X	Hum_Clus_2_Y	Hum_Clus_2_Z	Hum_Clus_3_X	Hum_Clus_3_Y	Hum_Clus_3_Z	Hum_Clus_4_X	Hum_Clus_4_Y	Hum_Clus_4_Z	Thor_Clus_1_X	Thor_Clus_1_Y	Thor_Clus_1_Z	Thor_Clus_2_X	Thor_Clus_2_Y	Thor_Clus_2_Z	Thor_Clus_3_X	Thor_Clus_3_Y	Thor_Clus_3_Z	Thor_Clus_4_X	Thor_Clus_4_Y	Thor_Clus_4_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	GH_X	GH_Y	GH_Z	Thor_Clus_5_X	Thor_Clus_5_Y	Thor_Clus_5_Z	
0	-0.064018	1.486782	-0.122397	-0.103104	1.236331	-0.164790	-0.177274	1.099003	0.131980	-0.166974	1.077534	0.068694	-0.104261	0.871795	0.191498	-0.059207	0.880979	0.163857	-0.167406	1.411780	0.043738	-0.102750	0.929610	0.213534	-0.084058	0.880095	0.223264	-0.059475	0.887265	0.211882	-0.063959	0.941116	0.192976	-0.148764	1.206601	0.157648	-0.203483	1.209886	0.132530	-0.210560	1.272942	0.130551	-0.154730	1.279794	0.147121	0.099315	1.373093	-0.015114	0.075321	1.322768	0.047485	0.066948	1.369726	0.015118	0.121800	1.327476	0.003204	0.019128	1.400624	-0.037601	0.069912	1.203927	-0.000366	-0.139478	1.380965	0.039316	0.066895	1.343842	0.040304	
1	-0.064301	1.486648	-0.122750	-0.103125	1.236149	-0.165102	-0.177239	1.098930	0.131762	-0.166930	1.077456	0.068478	-0.104130	0.871794	0.191304	-0.059088	0.880981	0.163645	-0.167589	1.411560	0.043408	-0.102723	0.929746	0.213246	-0.083881	0.880077	0.223081	-0.059323	0.886920	0.211300	-0.063825	0.941126	0.192752	-0.148803	1.206545	0.157389	-0.203532	1.209793	0.132277	-0.210636	1.272841	0.130307	-0.154816	1.279729	0.146868	0.099128	1.373172	-0.015496	0.075212	1.322785	0.047247	0.066842	1.369801	0.014806	0.121708	1.327544	0.002869	0.018947	1.400592	-0.037952	0.069945	1.203954	-0.000695	-0.139621	1.380900	0.039051	0.066988	1.344049	0.040005	
2	-0.064563	1.486514	-0.123096	-0.103147	1.235971	-0.165407	-0.177190	1.098854	0.131541	-0.166879	1.077382	0.068256	-0.103999	0.871790	0.191111	-0.058964	0.880977	0.163439	-0.167758	1.411349	0.043085	-0.102475	0.929571	0.212994	-0.083692	0.880062	0.222897	-0.059249	0.886205	0.210336	-0.063681	0.941099	0.192531	-0.148823	1.206492	0.157167	-0.203572	1.209700	0.132037	-0.210698	1.272745	0.130092	-0.154901	1.279653	0.146611	0.099338	1.373245	-0.015748	0.075118	1.322769	0.047084	0.066743	1.369848	0.014453	0.121608	1.327609	0.002461	0.018779	1.400551	-0.038295	0.069973	1.203968	-0.001015	-0.139747	1.380839	0.038804	0.065652	1.343298	0.039167	
3	-0.064802	1.486383	-0.123431	-0.103174	1.235801	-0.165703	-0.177127	1.098775	0.131318	-0.166822	1.077310	0.068030	-0.103864	0.871781	0.190918	-0.058834	0.880965	0.163238	-0.167912	1.411152	0.042773	-0.102257	0.929452	0.212763	-0.083492	0.880036	0.222729	-0.059065	0.886303	0.210250	-0.063541	0.941114	0.192287	-0.148821	1.206432	0.156949	-0.203582	1.209610	0.131811	-0.210742	1.272636	0.129884	-0.154946	1.279582	0.146376	0.099385	1.373279	-0.016039	0.075076	1.322806	0.046745	0.066666	1.369904	0.014154	0.121512	1.327664	0.002076	0.018625	1.400504	-0.038628	0.069993	1.203971	-0.001327	-0.139859	1.380782	0.038575	0.064721	1.342762	0.038501	
4	-0.065020	1.486259	-0.123751	-0.103211	1.235643	-0.165987	-0.177051	1.098695	0.131094	-0.166760	1.077240	0.067801	-0.103719	0.871764	0.190729	-0.058693	0.880944	0.163042	-0.168051	1.410972	0.042476	-0.102127	0.929437	0.212594	-0.083311	0.880011	0.222561	-0.058892	0.886310	0.210062	-0.063356	0.941018	0.192432	-0.148783	1.206361	0.156720	-0.203588	1.209498	0.131617	-0.210753	1.272546	0.129671	-0.154940	1.279503	0.146157	0.099269	1.373307	-0.016299	0.075017	1.322814	0.046458	0.066567	1.369926	0.013871	0.121422	1.327685	0.001729	0.018483	1.400453	-0.038949	0.070003	1.203962	-0.001631	-0.139956	1.380728	0.038362	0.064793	1.342820	0.038266	
5	-0.065209	1.486148	-0.124057	-0.103257	1.235505	-0.166263	-0.176963	1.098615	0.130869	-0.166694	1.077174	0.067568	-0.103568	0.871742	0.190534	-0.058542	0.880918	0.162846	-0.168173	1.410815	0.042192	-0.101966	0.929414	0.212437	-0.083124	0.879983	0.222376	-0.058820	0.886466	0.210002	-0.063219	0.940994	0.192238	-0.148718	1.206299	0.156505	-0.203564	1.209413	0.131447	-0.210764	1.272463	0.129476	-0.154927	1.279416	0.145925	0.099025	1.373481	-0.016582	0.075012	1.322742	0.046251	0.066507	1.369933	0.013588	0.121341	1.327686	0.001423	0.018356	1.400400	-0.039258	0.069999	1.203944	-0.001928	-0.140041	1.380678	0.038162	0.064777	1.342830	0.037983	
6	-0.065376	1.486052	-0.124342	-0.103316	1.235390	-0.166529	-0.176866	1.098533	0.130647	-0.166628	1.077109	0.067334	-0.103403	0.871709	0.190340	-0.058377	0.880883	0.162650	-0.168278	1.410682	0.041927	-0.101792	0.929361	0.212220	-0.082934	0.879957	0.222176	-0.058965	0.887010	0.210245	-0.063061	0.940955	0.192028	-0.148619	1.206218	0.156272	-0.203535	1.209327	0.131304	-0.210770	1.272476	0.129230	-0.154894	1.279330	0.145726	0.099055	1.373419	-0.016853	0.074863	1.322759	0.045859	0.066436	1.369909	0.013337	0.121262	1.327662	0.001092	0.018242	1.400347	-0.039552	0.069980	1.203917	-0.002219	-0.140114	1.380630	0.037972	0.064889	1.342797	0.037645	
7	-0.065513	1.485976	-0.124608	-0.103387	1.235303	-0.166787	-0.176760	1.098453	0.130426	-0.166562	1.077047	0.067100	-0.103225	0.871668	0.190138	-0.058199	0.880844	0.162449	-0.168366	1.410577	0.041679	-0.101563	0.929364	0.212006	-0.082727	0.879929	0.221916	-0.058634	0.886716	0.209845	-0.062878	0.940891	0.191853	-0.148500	1.206139	0.156053	-0.203458	1.209235	0.131134	-0.210625	1.272215	0.129197	-0.154846	1.279260	0.145540	0.099130	1.373232	-0.017140	0.074670	1.322808	0.045502	0.066429	1.369882	0.013087	0.121206	1.327660	0.000794	0.018144	1.400296	-0.039832	0.069945	1.203881	-0.002506	-0.140178	1.380584	0.037791	0.064847	1.342583	0.037385	
8	-0.065622	1.485924	-0.124852	-0.103471	1.235249	-0.167040	-0.176649	1.098374	0.130208	-0.166501	1.076988	0.066868	-0.103036	0.871619	0.189926	-0.058010	0.880800	0.162239	-0.168436	1.410502	0.041448	-0.101359	0.929364	0.211800	-0.082546	0.879866	0.221677	-0.058810	0.887279	0.210164	-0.062732	0.940910	0.191321	-0.148388	1.206065	0.155838	-0.203359	1.209143	0.130957	-0.210547	1.272138	0.129033	-0.154779	1.279189	0.145379	0.098765	1.373284	-0.017510	0.074592	1.322741	0.045296	0.066282	1.369779	0.012736	0.121145	1.327614	0.000531	0.018061	1.400250	-0.040095	0.069894	1.203839	-0.002790	-0.140234	1.380541	0.037614	0.065981	1.343582	0.037708	
9	-0.065704	1.485898	-0.125071	-0.103569	1.235229	-0.167287	-0.176537	1.098297	0.129993	-0.166446	1.076931	0.066638	-0.102833	0.871561	0.189705	-0.057809	0.880753	0.162018	-0.168491	1.410456	0.041237	-0.101176	0.929321	0.211591	-0.082363	0.879799	0.221434	-0.058643	0.887189	0.209924	-0.062561	0.940888	0.190980	-0.148281	1.205982	0.155638	-0.203242	1.209047	0.130795	-0.210454	1.272046	0.128913	-0.154683	1.279120	0.145201	0.098584	1.373205	-0.017824	0.074525	1.322669	0.045068	0.066248	1.369717	0.012444	0.121090	1.327548	0.000291	0.017991	1.400209	-0.040341	0.069824	1.203791	-0.003073	-0.140283	1.380498	0.037440	0.066222	1.343838	0.037530	
