

Sample #	C7_X	C7_Y	C7_Z	T8_X	T8_Y	T8_Z	EL_X	EL_Y	EL_Z	EM_X	EM_Y	EM_Z	US_X	US_Y	US_Z	RS_X	RS_Y	RS_Z	AA_X	AA_Y	AA_Z	Fore_Clus_1_X	Fore_Clus_1_Y	Fore_Clus_1_Z	Fore_Clus_2_X	Fore_Clus_2_Y	Fore_Clus_2_Z	Fore_Clus_3_X	Fore_Clus_3_Y	Fore_Clus_3_Z	Fore_Clus_4_X	Fore_Clus_4_Y	Fore_Clus_4_Z	Hum_Clus_1_X	Hum_Clus_1_Y	Hum_Clus_1_Z	Hum_Clus_2_X	Hum_Clus_2_Y	Hum_Clus_2_Z	Hum_Clus_3_X	Hum_Clus_3_Y	Hum_Clus_3_Z	Hum_Clus_4_X	Hum_Clus_4_Y	Hum_Clus_4_Z	Thor_Clus_1_X	Thor_Clus_1_Y	Thor_Clus_1_Z	Thor_Clus_2_X	Thor_Clus_2_Y	Thor_Clus_2_Z	Thor_Clus_3_X	Thor_Clus_3_Y	Thor_Clus_3_Z	Thor_Clus_4_X	Thor_Clus_4_Y	Thor_Clus_4_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	GH_X	GH_Y	GH_Z	Thor_Clus_5_X	Thor_Clus_5_Y	Thor_Clus_5_Z	
0	-0.059539	1.557342	-0.051055	-0.090059	1.320181	-0.131392	-0.264811	1.156359	0.097141	-0.235204	1.148922	0.035764	-0.220679	0.896824	0.153618	-0.159572	0.901824	0.158538	-0.221531	1.484735	0.062793	-0.234591	0.952940	0.173565	-0.220904	0.902024	0.186243	-0.194593	0.910425	0.191929	-0.193076	0.966954	0.183563	-0.215155	1.258356	0.152143	-0.269546	1.267714	0.127726	-0.271136	1.331411	0.128839	-0.214860	1.332256	0.145276	0.063226	1.453370	0.066558	0.024412	1.400496	0.120264	0.025147	1.449928	0.090443	0.078492	1.404808	0.085059	0.007617	1.466974	0.034027	0.046808	1.262746	0.074851	-0.197624	1.451726	0.069065	0.017442	1.421729	0.111572	
1	-0.059553	1.557294	-0.051020	-0.090060	1.320140	-0.131380	-0.265016	1.156303	0.097078	-0.235372	1.148862	0.035720	-0.221691	0.896634	0.153404	-0.160575	0.901449	0.158395	-0.221519	1.484656	0.062845	-0.235462	0.952780	0.173357	-0.221886	0.901803	0.185993	-0.195580	0.910173	0.191723	-0.193765	0.966694	0.183415	-0.215303	1.258241	0.152171	-0.269691	1.267646	0.127700	-0.271232	1.331353	0.128803	-0.214960	1.332138	0.145312	0.063256	1.453375	0.066553	0.024437	1.400458	0.120266	0.025152	1.449906	0.090453	0.078519	1.404779	0.085038	0.007626	1.466923	0.034041	0.046845	1.262694	0.074833	-0.197566	1.451624	0.069150	0.017468	1.421693	0.111578	
2	-0.059566	1.557243	-0.050995	-0.090064	1.320092	-0.131370	-0.265234	1.156252	0.097017	-0.235550	1.148804	0.035678	-0.222677	0.896466	0.153216	-0.161553	0.901105	0.158278	-0.221511	1.484583	0.062887	-0.236291	0.952676	0.173185	-0.222923	0.901605	0.185845	-0.196588	0.909908	0.191590	-0.194631	0.966393	0.183352	-0.215486	1.258144	0.152184	-0.269861	1.267584	0.127650	-0.271337	1.331295	0.128789	-0.215079	1.332036	0.145344	0.063256	1.453311	0.066542	0.024455	1.400409	0.120255	0.025173	1.449860	0.090478	0.078542	1.404748	0.085023	0.007632	1.466871	0.034049	0.046874	1.262643	0.074821	-0.197518	1.451525	0.069223	0.017491	1.421650	0.111573	
3	-0.059580	1.557190	-0.050980	-0.090073	1.320040	-0.131359	-0.265461	1.156205	0.096957	-0.235737	1.148746	0.035639	-0.223633	0.896317	0.153053	-0.162503	0.900792	0.158190	-0.221506	1.484516	0.062919	-0.237157	0.952555	0.173045	-0.223945	0.901407	0.185728	-0.197543	0.909659	0.191548	-0.195586	0.966171	0.183302	-0.215680	1.258043	0.152170	-0.270067	1.267503	0.127587	-0.271461	1.331243	0.128757	-0.215221	1.331931	0.145353	0.063258	1.453274	0.066551	0.024462	1.400341	0.120247	0.025180	1.449800	0.090478	0.078559	1.404703	0.084994	0.007634	1.466819	0.034053	0.046894	1.262592	0.074813	-0.197479	1.451428	0.069282	0.017497	1.421580	0.111563	
4	-0.059597	1.557131	-0.050975	-0.090084	1.319979	-0.131350	-0.265697	1.156161	0.096898	-0.235931	1.148688	0.035602	-0.224556	0.896186	0.152917	-0.163422	0.900508	0.158135	-0.221507	1.484448	0.062941	-0.237977	0.952421	0.172950	-0.224879	0.901268	0.185679	-0.198502	0.909400	0.191512	-0.196389	0.965932	0.183234	-0.215916	1.257938	0.152151	-0.270259	1.267438	0.127520	-0.271593	1.331189	0.128710	-0.215369	1.331822	0.145348	0.063269	1.453220	0.066566	0.024478	1.400278	0.120236	0.025185	1.449741	0.090497	0.078541	1.404609	0.085037	0.007632	1.466765	0.034051	0.046908	1.262540	0.074808	-0.197447	1.451332	0.069328	0.017516	1.421501	0.111560	
5	-0.059613	1.557072	-0.050975	-0.090102	1.319917	-0.131340	-0.265938	1.156120	0.096837	-0.236127	1.148631	0.035565	-0.225443	0.896075	0.152804	-0.164307	0.900256	0.158108	-0.221509	1.484387	0.062961	-0.238844	0.952290	0.172880	-0.225820	0.901136	0.185573	-0.199433	0.909213	0.191455	-0.197131	0.965771	0.183255	-0.216152	1.257812	0.152127	-0.270450	1.267383	0.127449	-0.271749	1.331146	0.128638	-0.215552	1.331719	0.145345	0.063277	1.453177	0.066542	0.024471	1.400177	0.120214	0.025180	1.449650	0.090494	0.078566	1.404545	0.085037	0.007627	1.466710	0.034047	0.046913	1.262487	0.074806	-0.197424	1.451239	0.069363	0.017512	1.421422	0.111543	
6	-0.059632	1.557007	-0.050981	-0.090123	1.319847	-0.131331	-0.266184	1.156080	0.096773	-0.236324	1.148571	0.035528	-0.226293	0.895977	0.152716	-0.165157	0.900031	0.158117	-0.221516	1.484325	0.062973	-0.239551	0.952228	0.172799	-0.226685	0.901038	0.185459	-0.200378	0.909137	0.191389	-0.197853	0.965562	0.183251	-0.216411	1.257720	0.152087	-0.270662	1.267339	0.127367	-0.271908	1.331102	0.128547	-0.215731	1.331639	0.145331	0.063247	1.453087	0.066563	0.024476	1.400100	0.120193	0.025179	1.449588	0.090519	0.078681	1.404527	0.085098	0.007618	1.466651	0.034039	0.046912	1.262431	0.074804	-0.197407	1.451145	0.069385	0.017506	1.421345	0.111552	
7	-0.059652	1.556941	-0.050990	-0.090150	1.319776	-0.131323	-0.266430	1.156040	0.096706	-0.236518	1.148512	0.035488	-0.227104	0.895893	0.152650	-0.165969	0.899833	0.158155	-0.221524	1.484265	0.062984	-0.240320	0.952139	0.172750	-0.227531	0.900978	0.185404	-0.201170	0.908982	0.191363	-0.198635	0.965376	0.183294	-0.216675	1.257621	0.152044	-0.270862	1.267281	0.127284	-0.272072	1.331066	0.128472	-0.215899	1.331554	0.145306	0.063237	1.453030	0.066556	0.024474	1.400022	0.120180	0.025177	1.449528	0.090526	0.078666	1.404458	0.085072	0.007607	1.466590	0.034030	0.046905	1.262373	0.074803	-0.197397	1.451053	0.069397	0.017493	1.421253	0.111575	
8	-0.059671	1.556873	-0.050999	-0.090182	1.319705	-0.131316	-0.266677	1.156001	0.096634	-0.236708	1.148450	0.035447	-0.227874	0.895821	0.152606	-0.166743	0.899660	0.158223	-0.221534	1.484208	0.062994	-0.241059	0.952083	0.172712	-0.228290	0.900809	0.185305	-0.202007	0.908840	0.191357	-0.199357	0.965255	0.183346	-0.216929	1.257541	0.152020	-0.271069	1.267237	0.127184	-0.272223	1.331026	0.128385	-0.216078	1.331480	0.145290	0.063225	1.452967	0.066563	0.024479	1.399960	0.120163	0.025168	1.449470	0.090544	0.078646	1.404399	0.085063	0.007594	1.466526	0.034019	0.046892	1.262310	0.074801	-0.197393	1.450962	0.069400	0.017498	1.421191	0.111566	
9	-0.059690	1.556803	-0.051008	-0.090213	1.319632	-0.131313	-0.266921	1.155960	0.096558	-0.236891	1.148386	0.035403	-0.228603	0.895758	0.152585	-0.167478	0.899506	0.158322	-0.221547	1.484146	0.063000	-0.241719	0.952029	0.172696	-0.229136	0.900671	0.185275	-0.202836	0.908692	0.191389	-0.200018	0.965118	0.183394	-0.217162	1.257471	0.151989	-0.271273	1.267202	0.127090	-0.272367	1.330987	0.128288	-0.216240	1.331397	0.145238	0.063213	1.452929	0.066608	0.024464	1.399881	0.120133	0.025162	1.449383	0.090549	0.078649	1.404338	0.085051	0.007578	1.466457	0.034008	0.046874	1.262242	0.074795	-0.197391	1.450870	0.069391	0.017498	1.421118	0.111559	
