Mhairi	// User ID
20-6-2024	// Evaluation date
P13_JA_Slow	5-6-2024	11:26:34:278	// Source file name and timestamp
100.000	// Sampling rate
94.687	// Data capture period



Sample #	IMU3_Q0	IMU3_Q1	IMU3_Q2	IMU3_Q3	IMU2_Q0	IMU2_Q1	IMU2_Q2	IMU2_Q3	IMU1_Q0	IMU1_Q1	IMU1_Q2	IMU1_Q3	
0	0.063795	-0.297442	-0.145983	-0.941354	0.060420	0.413621	-0.109873	-0.901774	0.886110	-0.309787	0.324188	0.117229	
1	0.062531	-0.298623	-0.145092	-0.941203	0.059611	0.413028	-0.109623	-0.902129	0.886208	-0.309161	0.324472	0.117358	
2	0.061226	-0.300056	-0.144170	-0.940975	0.058765	0.412428	-0.109402	-0.902486	0.886314	-0.308556	0.324711	0.117484	
3	0.059889	-0.301633	-0.143329	-0.940685	0.057889	0.411836	-0.109210	-0.902836	0.886444	-0.307944	0.324898	0.117601	
4	0.058547	-0.303324	-0.142527	-0.940347	0.057001	0.411275	-0.109049	-0.903168	0.886589	-0.307343	0.325031	0.117710	
5	0.057219	-0.305065	-0.141761	-0.939981	0.056119	0.410765	-0.108919	-0.903471	0.886749	-0.306760	0.325109	0.117809	
6	0.055920	-0.306730	-0.141113	-0.939615	0.055254	0.410326	-0.108814	-0.903736	0.886935	-0.306169	0.325131	0.117887	
7	0.054678	-0.308306	-0.140479	-0.939268	0.054429	0.409981	-0.108734	-0.903953	0.887133	-0.305601	0.325103	0.117946	
8	0.053498	-0.309652	-0.139959	-0.938970	0.053651	0.409746	-0.108670	-0.904113	0.887357	-0.305021	0.325025	0.117975	
9	0.052400	-0.310735	-0.139497	-0.938743	0.052938	0.409638	-0.108617	-0.904210	0.887601	-0.304441	0.324906	0.117970	
10	0.051391	-0.311506	-0.139073	-0.938606	0.052298	0.409671	-0.108569	-0.904239	0.887860	-0.303862	0.324756	0.117926	
11	0.050469	-0.311883	-0.138751	-0.938579	0.051736	0.409848	-0.108518	-0.904197	0.888142	-0.303255	0.324585	0.117832	
12	0.049640	-0.311912	-0.138408	-0.938664	0.051259	0.410175	-0.108461	-0.904082	0.888430	-0.302654	0.324409	0.117691	
13	0.048889	-0.311536	-0.138128	-0.938870	0.050861	0.410646	-0.108392	-0.903899	0.888731	-0.302026	0.324242	0.117492	
14	0.048207	-0.310808	-0.137836	-0.939189	0.050540	0.411252	-0.108308	-0.903652	0.889032	-0.301390	0.324102	0.117238	
15	0.047581	-0.309782	-0.137499	-0.939609	0.050288	0.411978	-0.108209	-0.903347	0.889322	-0.300753	0.324008	0.116930	
16	0.046986	-0.308470	-0.137170	-0.940119	0.050086	0.412800	-0.108094	-0.902997	0.889605	-0.300096	0.323973	0.116566	
17	0.046410	-0.307013	-0.136719	-0.940690	0.049927	0.413695	-0.107968	-0.902611	0.889855	-0.299461	0.324019	0.116157	
18	0.045824	-0.305435	-0.136226	-0.941303	0.049785	0.414628	-0.107834	-0.902207	0.890077	-0.298826	0.324158	0.115705	
19	0.045215	-0.303857	-0.135620	-0.941931	0.049645	0.415568	-0.107700	-0.901798	0.890255	-0.298216	0.324403	0.115221	
20	0.044565	-0.302377	-0.134875	-0.942545	0.049488	0.416479	-0.107574	-0.901401	0.890379	-0.297646	0.324764	0.114717	
21	0.043857	-0.301035	-0.134053	-0.943125	0.049289	0.417322	-0.107465	-0.901035	0.890453	-0.297100	0.325244	0.114200	
22	0.043088	-0.299974	-0.133042	-0.943641	0.049037	0.418063	-0.107383	-0.900715	0.890457	-0.296621	0.325848	0.113688	
23	0.042245	-0.299199	-0.131938	-0.944080	0.048711	0.418664	-0.107336	-0.900459	0.890402	-0.296184	0.326570	0.113188	
24	0.041333	-0.298792	-0.130692	-0.944423	0.048303	0.419096	-0.107334	-0.900280	0.890280	-0.295810	0.327404	0.112713	
25	0.040355	-0.298794	-0.129301	-0.944656	0.047806	0.419331	-0.107385	-0.900192	0.890092	-0.295506	0.328339	0.112276	
26	0.039314	-0.299175	-0.127851	-0.944777	0.047213	0.419343	-0.107493	-0.900204	0.889853	-0.295246	0.329356	0.111878	
27	0.038230	-0.300000	-0.126254	-0.944774	0.046533	0.419121	-0.107664	-0.900323	0.889554	-0.295064	0.330442	0.111532	
28	0.037110	-0.301190	-0.124632	-0.944656	0.045768	0.418650	-0.107898	-0.900553	0.889217	-0.294921	0.331574	0.111235	
29	0.035975	-0.302743	-0.122961	-0.944422	0.044933	0.417930	-0.108194	-0.900894	0.888846	-0.294828	0.332731	0.110989	
